Level: State
Unit:Total (thousands), Nominal
State,Year,(R01) Total Revenue,(R03) General Revenue,(E001) Total Expenditure,(E013) General Expenditure,(E024) Total Educ-Direct Exp,(E027) Elem Educ-Direct Exp,(E030) Total High Ed-Dir Exp,(E031) Total High Ed-Cur Oper,(E036) Educational Assistance (E19),(E052) Health & Hosp-Dir Exp,(E053) Health & Hosp-Cur Oper,(E054) Health & Hosp-Cap Out,(E055) Health-Direct Expend,(E056) Health-Current Oper (E32)
Massachusetts,2001,$       29303913,$       29287698,$       32435081,$       29487838,$        2987992,$           7017,$        2321349,$        2123144,$         223072,$        2301448,$        2264964,$          36484,$        1790704,$        1770056
Massachusetts,2002,$       26885248,$       26475973,$       32847974,$       28470834,$        3187581,$           7285,$        2515088,$        2216085,$         214462,$        2398892,$        2369601,$          29291,$        1885591,$        1868853
Massachusetts,2003,$       30371289,$       27012438,$       32710435,$       27870663,$        3338389,$           7857,$        2507181,$        2271128,$         202130,$        2373177,$        2348566,$          24611,$        1866048,$        1851008
Massachusetts,2004,$       41774066,$       33138225,$       36981953,$       32450638,$        4236287,$           8018,$        2622268,$        2340453,$         218703,$        1088076,$        1069804,$          18272,$         673391,$         660728
Massachusetts,2005,$       42053725,$       34816054,$       37624779,$       33600534,$        4037917,$           8409,$        3060403,$        2756296,$         239530,$        1306565,$        1275326,$          31239,$         884695,$         861744
Massachusetts,2006,$       45452875,$       36476130,$       39120740,$       35277406,$        4494403,$           8519,$        3458854,$        3006022,$         237502,$        1369103,$        1341366,$          27737,$         921135,$         904188
Massachusetts,2007,$       49315286,$       38598161,$       44033609,$       39407867,$        4671541,$           9452,$        3641648,$        3162117,$         272734,$        1445248,$        1432202,$          13046,$         932697,$         925388
Massachusetts,2008,$       43726890,$       41426409,$       45809678,$       39987080,$        4765592,$          10917,$        3714320,$        3298159,$         290416,$        1515929,$        1499186,$          16743,$        1049060,$        1042393
Massachusetts,2009,$       34182458,$       42175688,$       48647503,$       41527611,$        5136753,$           9819,$        4062619,$        3341533,$         299242,$        1522203,$        1480006,$          42197,$        1032344,$        1025025
Massachusetts,2010,$       51013137,$       42894396,$       52448089,$       42436302,$        5171483,$           9819,$        4126955,$        3530845,$         335423,$        1519710,$        1454104,$          65606,$        1032718,$        1026075
Massachusetts,2011,$       58125298,$       45937578,$       55225665,$       43856404,$        5730651,$          11487,$        4644333,$        3794303,$         325171,$        1610426,$        1504393,$         106033,$        1095332,$        1088077
Massachusetts,2012,$       49378979,$       45185468,$       62012182,$       50981081,$        5866084,$          39277,$        4753193,$        3810404,$         351145,$        1522134,$        1393397,$         128737,$         883566,$         852679
Massachusetts,2013,$       57359878,$       46269606,$       62573056,$       52105748,$        6079762,$          32554,$        4899833,$        3901086,$         369735,$        1449399,$        1344418,$         104981,$         796761,$         764759
Massachusetts,2014,$       61422030,$       48932838,$       66154906,$       56022324,$        6323911,$         192304,$        4928179,$        4112257,$         382011,$        1459863,$        1410072,$          49791,$        1213638,$        1167348
Massachusetts,2015,$       58586162,$       51969991,$       67132639,$       56755279,$        6591174,$         235669,$        5118323,$        4240895,$         397512,$        1789491,$        1675255,$         114236,$        1035930,$         996930
Massachusetts,2016,$       60065774,$       54398655,$       69988598,$       59832898,$        6690680,$         248210,$        5156761,$        4415229,$         416862,$        2017115,$        1916307,$         100808,$        1304132,$        1264615
Massachusetts,2017,$       66796478,$       54717961,$       65325819,$       55249325,$        7134443,$         248525,$        5505794,$        4540890,$         483657,$        2128829,$        2058724,$          70105,$        1412304,$        1375234
Michigan,1990,$       23411174,$       19707692,$       23097720,$       19561154,$        3170568,$              0,$        2870194,$        2533619,$         217927,$        1805659,$        1730330,$          75329,$         707457,$         688156
Michigan,1991,$       24504726,$       20891046,$       24036582,$       20748884,$        3411809,$              0,$        3078435,$        2772100,$         244043,$        1867553,$        1770095,$          97458,$         774782,$         739223
Michigan,1992,$       26298149,$       22079192,$       25527211,$       21845184,$        3559987,$              0,$        3197078,$        2944889,$         262729,$        1863842,$        1769928,$          93914,$         759631,$         720073
Michigan,1993,$       28448915,$       24327143,$       27050527,$       23357795,$        3763449,$              0,$        3377796,$        3115698,$         286894,$        1804624,$        1676254,$         128370,$         707007,$         666821
Michigan,1994,$       30746557,$       25982226,$       29305100,$       25862008,$        4042657,$              0,$        3667691,$        3179057,$         296350,$        2011375,$        1861779,$         149596,$         771172,$         732292
Michigan,1995,$       35909287,$       30217499,$       34825435,$       30875320,$        4441615,$              0,$        3822444,$        3274130,$         358204,$        2028186,$        1893563,$         134623,$         564310,$         553859
Michigan,1996,$       37617587,$       31699469,$       35079667,$       31643604,$        4890235,$              0,$        4094686,$        3498361,$         383906,$        2036626,$        1853087,$         183539,$         588030,$         583327
Michigan,1997,$       45509221,$       33857435,$       36092175,$       32546413,$        4825370,$              0,$        4317147,$        3825898,$         318001,$        1998113,$        1858366,$         139747,$         577972,$         570128
Michigan,1998,$       39785000,$       35385746,$       37408140,$       34066033,$        5164773,$              0,$        4629002,$        4077329,$         345747,$        1737016,$        1637563,$          99453,$         618450,$         606680
Michigan,1999,$       46724414,$       36791405,$       38798045,$       35122756,$        5641891,$              0,$        5095076,$        4424564,$         360200,$        1664857,$        1550489,$         114368,$         611827,$         572310
Michigan,2000,$       49511464,$       39490569,$       42748895,$       39003752,$        6283937,$              0,$        5745026,$        5039285,$         319042,$        1734886,$        1630869,$         104017,$         621984,$         611292
Michigan,2001,$       43346782,$       40619411,$       46657684,$       42252320,$        6706070,$              0,$        6118894,$        5425261,$         342845,$        1878527,$        1681136,$         197391,$         631377,$         624292
Michigan,2002,$       43935634,$       40886394,$       49027432,$       43827413,$        6590288,$              0,$        6125910,$        5239128,$         213158,$        2318166,$        2309571,$           8595,$         687756,$         680859
Michigan,2003,$       50076603,$       43010240,$       51016280,$       44522173,$        6446154,$              0,$        6022830,$        5237784,$         247185,$        2498306,$        2490501,$           7805,$         825523,$         819243
Michigan,2004,$       55557297,$       44876013,$       52489571,$       46312233,$        7744722,$         553582,$        6510774,$        5585242,$         578350,$        2954876,$        2945510,$           9366,$        1142126,$        1134199
Michigan,2005,$       55481834,$       45715284,$       51563447,$       45820236,$        7851975,$         582333,$        6547018,$        5571280,$         582333,$        2497835,$        2495514,$           2321,$         587001,$         584756
Michigan,2006,$       57414710,$       46063972,$       53186639,$       46892602,$        8313246,$         644797,$        6863527,$        5834214,$         655244,$        2687971,$        2685817,$           2154,$         650112,$         648001
Michigan,2007,$       61883991,$       47590376,$       54521686,$       47815335,$        8420149,$         671984,$        6915380,$        6175906,$         684989,$        2872360,$        2870311,$           2049,$         817005,$         815245
Michigan,2008,$       42802955,$       49316492,$       56653904,$       49612891,$        8847208,$          39989,$        7922697,$        7027031,$         752129,$        3258877,$        3255051,$           3826,$         959996,$         956225
Michigan,2009,$       53090160,$       49634829,$       58997843,$       50187731,$        8529016,$          39865,$        7500629,$        6877797,$         849241,$        3363047,$        3362214,$            833,$         997322,$         996590
Michigan,2010,$       66107007,$       52670317,$       63907650,$       51510080,$        9502931,$          61582,$        8388276,$        7034353,$         912233,$        3460070,$        3457855,$           2215,$         982857,$         980853
Michigan,2011,$       64722073,$       55009116,$       63108508,$       52201724,$        9529292,$          42148,$        8520882,$        7223308,$         834542,$        3544019,$        3543127,$            892,$        1022623,$        1021815
Michigan,2012,$       64982528,$       52875694,$       61726983,$       51919398,$       10030311,$          53038,$        8973063,$        7547045,$         867929,$        3891221,$        3890186,$           1035,$        1168975,$        1168020
Michigan,2013,$       68325124,$       54343294,$       62945176,$       53689542,$        9954912,$          40131,$        8878246,$        7696551,$         913846,$        4275000,$        4272111,$           2889,$        1194600,$        1193432
Michigan,2014,$       70934951,$       54855239,$       66319103,$       55635488,$       10589340,$          31005,$        9358114,$        7846200,$         960812,$        4394192,$        4386761,$           7431,$        1171953,$        1170121
Michigan,2015,$       66961570,$       59727316,$       67661561,$       59085103,$       10547934,$          23009,$        9351555,$        8146582,$         988606,$        4632327,$        4626575,$           5752,$        1209410,$        1207783
Michigan,2016,$       71337749,$       61404277,$       70110424,$       61516323,$       11248200,$              0,$        9922156,$        8518499,$        1108190,$        5260575,$        5255749,$           4826,$        1471531,$        1469765
Michigan,2017,$       77155047,$       64021739,$       72137592,$       63191209,$       11698327,$              0,$       10257050,$        8729941,$        1201477,$        5873291,$        5870362,$           2929,$        1487816,$        1486227
Minnesota,1990,$       13236031,$       10991402,$       11355465,$       10406769,$        1626609,$              0,$        1381202,$        1270066,$         116650,$         708485,$         693250,$          15235,$         205076,$         201481
Minnesota,1991,$       13701385,$       11642450,$       12730356,$       11688084,$        1860603,$              0,$        1579937,$        1469684,$         136945,$         768607,$         743551,$          25056,$         231953,$         227805
Minnesota,1992,$       15090456,$       12346845,$       13526177,$       12321541,$        1816561,$              0,$        1534564,$        1424252,$         151302,$         805369,$         796207,$           9162,$         262520,$         258149
Minnesota,1993,$       16244971,$       13396723,$       14295081,$       13003118,$        1978634,$              0,$        1668157,$        1518891,$         166304,$         839516,$         823946,$          15570,$         287527,$         283323
Minnesota,1994,$       17181599,$       14212231,$       15278260,$       13951717,$        2039124,$              0,$        1699424,$        1564288,$         193178,$         838324,$         823589,$          14735,$         285422,$         279684
Minnesota,1995,$       18288680,$       15210377,$       16369989,$       14807966,$        2238423,$              0,$        1891767,$        1718910,$         187071,$         887718,$         870446,$          17272,$         303217,$         295487
Minnesota,1996,$       20525269,$       16192328,$       17325287,$       15749033,$        2219515,$              0,$        1881108,$        1707128,$         206555,$         940246,$         927119,$          13127,$         334353,$         328709
Minnesota,1997,$       22881630,$       17207455,$       18443264,$       16795896,$        2391772,$              0,$        2022356,$        1837498,$         214559,$         764383,$         738879,$          25504,$         335572,$         320971
Minnesota,1998,$       24508758,$       17856170,$       18418302,$       16662336,$        2726482,$              0,$        2307748,$        2106565,$         216756,$         583108,$         563751,$          19357,$         351247,$         335800
Minnesota,1999,$       25089186,$       19131407,$       20387584,$       18409825,$        2919328,$              0,$        2444816,$        2207796,$         231520,$         519118,$         504834,$          14284,$         305522,$         293349
Minnesota,2000,$       26888542,$       20971355,$       23326005,$       20974542,$        3119366,$              0,$        2613362,$        2352278,$         263306,$         559943,$         543304,$          16639,$         337293,$         324494
Minnesota,2001,$       26135477,$       21750282,$       24612196,$       21958545,$        3374564,$              0,$        2810135,$        2510842,$         285028,$         558038,$         547988,$          10050,$         346884,$         339942
Minnesota,2002,$       22438505,$       21909597,$       26692608,$       23477924,$        3496238,$              0,$        2946707,$        2609701,$         324222,$         540776,$         531845,$           8931,$         334027,$         327093
Minnesota,2003,$       25596307,$       23072489,$       28898514,$       25383926,$        3668541,$              0,$        2962281,$        2680519,$         339934,$         631003,$         623217,$           7786,$         426629,$         420196
Minnesota,2004,$       29708220,$       24217043,$       28226351,$       24778412,$        3691749,$              0,$        3009606,$        2740352,$         348041,$         632071,$         626035,$           6036,$         375820,$         372608
Minnesota,2005,$       31723566,$       25790017,$       29559979,$       26263523,$        3848390,$              0,$        3117798,$        2886490,$         369505,$         672453,$         665573,$           6880,$         405050,$         402201
Minnesota,2006,$       34708256,$       27626038,$       30711527,$       27163073,$        4272824,$              0,$        3402412,$        3157464,$         382255,$         676323,$         669281,$           7042,$         382997,$         379746
Minnesota,2007,$       38733292,$       28464373,$       31880478,$       28163216,$        4621884,$              0,$        3666828,$        3266501,$         450889,$         767124,$         758965,$           8159,$         439317,$         436674
Minnesota,2008,$       29707313,$       29682086,$       34283510,$       30255260,$        5088241,$              0,$        4146530,$        3670580,$         463428,$         890874,$         879369,$          11505,$         486162,$         479535
Minnesota,2009,$       22781153,$       29042836,$       36308889,$       31645752,$        5443262,$              0,$        4460546,$        3884824,$         473690,$         852253,$         845913,$           6340,$         485350,$         481898
Minnesota,2010,$       39908374,$       31483682,$       37904398,$       31702303,$        5412057,$              0,$        4374761,$        3988298,$         544257,$         690075,$         686659,$           3416,$         452437,$         450662
Minnesota,2011,$       45684189,$       33451689,$       38488350,$       32769634,$        5404105,$              0,$        4405616,$        4052017,$         482683,$         729428,$         723232,$           6196,$         441174,$         437376
Minnesota,2012,$       38692931,$       34299368,$       38233383,$       33031089,$        5342443,$              0,$        4391339,$        3975014,$         502565,$         748468,$         740765,$           7703,$         230461,$         229825
Minnesota,2013,$       47221484,$       35939741,$       39556269,$       34669727,$        5661718,$              0,$        4648241,$        4144362,$         543024,$         546176,$         541818,$           4358,$         291163,$         288273
Minnesota,2014,$       49278338,$       36991393,$       42501434,$       36576560,$        5732445,$              0,$        4676531,$        4357498,$         573189,$         633043,$         625448,$           7595,$         341686,$         336067
Minnesota,2015,$       47030522,$       40246716,$       43075825,$       37570750,$        5567459,$              0,$        4692019,$        4382708,$         586606,$         660515,$         656395,$           4120,$         362736,$         360018
Minnesota,2016,$       44304334,$       41270639,$       46326308,$       40547925,$        6015909,$              0,$        5082362,$        4665734,$         645632,$         709647,$         707542,$           2105,$         417317,$         416045
Minnesota,2017,$       53458777,$       41455933,$       47191763,$       41175244,$        6712858,$              0,$        5693338,$        5256001,$         718435,$         719912,$         714754,$           5158,$         406046,$         403240
Mississippi,1990,$        5411479,$        4523134,$        4837512,$        4393991,$         686448,$              0,$         548590,$         496103,$          39919,$         317098,$         304208,$          12890,$         106028,$         104180
Mississippi,1991,$        5794489,$        4948942,$        5171284,$        4680374,$         717879,$              0,$         583376,$         528571,$          36997,$         347319,$         338188,$           9131,$         118599,$         117549
Mississippi,1992,$        6177389,$        5289771,$        5762085,$        5216887,$         749078,$              0,$         607811,$         556487,$          40764,$         366858,$         357973,$           8885,$         125082,$         122112
Mississippi,1993,$        7204607,$        6030790,$        6234886,$        5585172,$         722688,$              0,$         572661,$         505274,$          47741,$         390719,$         375965,$          14754,$         124978,$         121587
Mississippi,1994,$        7696951,$        6607207,$        6762066,$        6142749,$         886870,$              0,$         715371,$         646793,$          54727,$         427855,$         417168,$          10687,$         149771,$         147913
Mississippi,1995,$        8300728,$        7055718,$        7413908,$        6707914,$         973451,$              0,$         791695,$         723523,$          57605,$         505704,$         486241,$          19463,$         156665,$         152343
Mississippi,1996,$        8864863,$        7461122,$        8216867,$        7436968,$        1020445,$              0,$         826011,$         739403,$          72463,$         583627,$         559727,$          23900,$         203528,$         198282
Mississippi,1997,$        9400400,$        7895021,$        9005740,$        8013965,$        1108704,$              0,$         905871,$         778022,$          82303,$         631173,$         600844,$          30329,$         209102,$         205395
Mississippi,1998,$       10608543,$        8397229,$        9335836,$        8526198,$        1250485,$              0,$        1006668,$         815941,$         119072,$         677228,$         645159,$          32069,$         211085,$         201942
Mississippi,1999,$       10700917,$        8971867,$        9926812,$        9072583,$        1274737,$              0,$        1004050,$         912516,$         130781,$         660263,$         623695,$          36568,$         226853,$         209273
Mississippi,2000,$       12181038,$        9635757,$       10972174,$       10049045,$        1467690,$              0,$        1151197,$        1013228,$         140273,$         849222,$         813069,$          36153,$         250407,$         237655
Mississippi,2001,$       11692949,$       10320074,$       11727422,$       10610118,$        1532534,$              0,$        1204512,$        1059462,$         152841,$         915129,$         869082,$          46047,$         224865,$         208465
Mississippi,2002,$       11052453,$       11043568,$       12742438,$       11461763,$        1697760,$              0,$        1391110,$        1193363,$         147760,$         894102,$         830278,$          63824,$         229083,$         214977
Mississippi,2003,$       13393021,$       11873033,$       13502885,$       12094517,$        1644188,$              0,$        1368579,$        1244311,$         128640,$         910128,$         879171,$          30957,$         242821,$         227711
Mississippi,2004,$       15351077,$       12196208,$       14263288,$       12766451,$        1726524,$              0,$        1433788,$        1299335,$         131589,$         948062,$         924001,$          24061,$         252712,$         239839
Mississippi,2005,$       15518347,$       12817236,$       14704763,$       13171652,$        1800742,$              0,$        1508723,$        1337903,$         135676,$        1001647,$         984926,$          16721,$         254234,$         243803
Mississippi,2006,$       17743579,$       14604494,$       16293095,$       14554388,$        1886004,$              0,$        1583974,$        1353233,$         139902,$        1030085,$        1011901,$          18184,$         264259,$         257710
Mississippi,2007,$       22489722,$       17488471,$       18629901,$       16900405,$        2022384,$              0,$        1698897,$        1461445,$         146328,$        1172125,$        1138786,$          33339,$         311514,$         300059
Mississippi,2008,$       16253029,$       16504961,$       18642936,$       16776841,$        2212688,$              0,$        1886893,$        1677351,$         136879,$        1273217,$        1231517,$          41700,$         319915,$         301079
Mississippi,2009,$       14393964,$       16838990,$       19246076,$       17162353,$        2251053,$              0,$        1900231,$        1684982,$         147406,$        1390111,$        1339457,$          50654,$         347638,$         326956
Mississippi,2010,$       20978857,$       17427549,$       20022652,$       17500003,$        2370989,$              0,$        1990363,$        1707515,$         165549,$        1435795,$        1367052,$          68743,$         370096,$         339772
Mississippi,2011,$       23441796,$       17642908,$       20157417,$       17546382,$        2260130,$              0,$        1872578,$        1719792,$         178507,$        1455775,$        1353324,$         102451,$         382447,$         332197
Mississippi,2012,$       18765204,$       17034877,$       20051299,$       17373134,$        2373773,$              0,$        1954760,$        1775294,$         195538,$        1408874,$        1371017,$          37857,$         357440,$         343924
Mississippi,2013,$       22145435,$       17510532,$       20101927,$       17386707,$        2331108,$              0,$        1895297,$        1724636,$         217030,$        1482157,$        1449881,$          32276,$         350465,$         339074
Mississippi,2014,$       23266315,$       17577089,$       20173971,$       17374197,$        2499217,$              0,$        2037010,$        1786911,$         250294,$        1496707,$        1463581,$          33126,$         316775,$         304729
Mississippi,2015,$       21333157,$       18689989,$       21139895,$       18354508,$        2624760,$              0,$        2104816,$        1831685,$         290532,$        1552250,$        1464928,$          87322,$         294578,$         255952
Mississippi,2016,$       21015751,$       19088895,$       21902437,$       18977307,$        2970082,$              0,$        2449914,$        2095195,$         311972,$        1734569,$        1699953,$          34616,$         271171,$         267189
Mississippi,2017,$       24310239,$       19000703,$       21860679,$       18827203,$        2803476,$              0,$        2265138,$        1986549,$         340276,$        1791022,$        1761580,$          29442,$         296287,$         291539
Missouri,1990,$        9344463,$        8012097,$        8325562,$        7703336,$        1086979,$              0,$         930153,$         874638,$          56546,$         666214,$         637231,$          28983,$         279917,$         270715
Missouri,1991,$       10001999,$        8660697,$        9254189,$        8478125,$        1174003,$              0,$        1000371,$         945163,$          64887,$         704570,$         683367,$          21203,$         297162,$         294203
Missouri,1992,$       11619246,$        9872284,$       10445849,$        9513043,$        1235778,$              0,$        1053559,$         971089,$          72481,$         711375,$         690304,$          21071,$         324749,$         319847
Missouri,1993,$       12558767,$       10334735,$       10893557,$        9902150,$        1275687,$              0,$        1074111,$        1008000,$          81111,$         778771,$         754891,$          23880,$         379606,$         371550
Missouri,1994,$       13287398,$       11273733,$       11536158,$       10577019,$        1354563,$              0,$        1131053,$        1089391,$          90095,$         846036,$         819857,$          26179,$         424767,$         415508
Missouri,1995,$       15586334,$       12515675,$       12482046,$       11400149,$        1486462,$              0,$        1240197,$        1124417,$         103328,$         915888,$         889125,$          26763,$         476752,$         468313
Missouri,1996,$       17050787,$       13022026,$       12944475,$       11854451,$        1636791,$              0,$        1368459,$        1211518,$         115568,$        1018096,$         981618,$          36478,$         539615,$         530383
Missouri,1997,$       16600626,$       13773787,$       14229714,$       13082000,$        1821036,$              0,$        1507534,$        1313466,$         138909,$         992524,$         961712,$          30812,$         554062,$         543432
Missouri,1998,$       19021087,$       14884502,$       15313244,$       14191332,$        1982475,$              0,$        1620141,$        1404949,$         154025,$        1045977,$        1012895,$          33082,$         587580,$         574661
Missouri,1999,$       19504680,$       15770004,$       16524873,$       15345903,$        2063933,$              0,$        1673365,$        1483074,$         170227,$        1128031,$        1058757,$          69274,$         601776,$         590803
Missouri,2000,$       20309205,$       16485555,$       17293111,$       15837256,$        2283188,$              0,$        1815849,$        1595302,$         167430,$        1154396,$        1092703,$          61693,$         562182,$         542288
Missouri,2001,$       20133937,$       17527810,$       18888113,$       17123078,$        2412152,$              0,$        1982003,$        1726614,$         191988,$        1298698,$        1270568,$          28130,$         587951,$         576675
Missouri,2002,$       19085356,$       18653645,$       20840783,$       18707684,$        2555874,$              0,$        2032954,$        1782330,$         227186,$        1360897,$        1289976,$          70921,$         472212,$         455870
Missouri,2003,$       22023719,$       19135079,$       21566197,$       19137212,$        2530390,$              0,$        1986525,$        1788732,$         238401,$        1459167,$        1404768,$          54399,$         565662,$         556358
Missouri,2004,$       26237744,$       20204731,$       22038965,$       19487011,$        2578780,$              0,$        2074978,$        1829735,$         245166,$        1696307,$        1653547,$          42760,$         654937,$         643094
Missouri,2005,$       26820654,$       21425043,$       23150843,$       20680051,$        2732191,$              0,$        2194021,$        1934211,$         263937,$        1877411,$        1813558,$          63853,$         695067,$         674525
Missouri,2006,$       28760837,$       22373092,$       24335073,$       21700544,$        2916792,$              0,$        2403982,$        2131489,$         285108,$        2181519,$        2112834,$          68685,$        1026474,$        1004671
Missouri,2007,$       32729141,$       23099370,$       25193426,$       22316172,$        3103780,$              0,$        2562513,$        2279537,$         309645,$        2262269,$        2233413,$          28856,$        1051289,$        1046577
Missouri,2008,$       25285284,$       24253709,$       26865659,$       23698213,$        3661552,$            179,$        2968933,$        2595090,$         379757,$        2458210,$        2395307,$          62903,$        1136065,$        1133330
Missouri,2009,$       17969081,$       24441178,$       28613023,$       24818836,$        3667284,$            957,$        2930092,$        2548815,$         427400,$        2624053,$        2562811,$          61242,$        1272377,$        1269095
Missouri,2010,$       33914202,$       26110249,$       30781944,$       25805030,$        3620943,$             19,$        2887329,$        2559323,$         431828,$        2839571,$        2740883,$          98688,$        1367912,$        1365658
Missouri,2011,$       38612603,$       27088562,$       30646880,$       25772733,$        3621680,$              0,$        2917662,$        2639105,$         398342,$        2891014,$        2811182,$          79832,$        1398057,$        1395214
Missouri,2012,$       30629290,$       26613927,$       31621603,$       27084434,$        3884466,$              0,$        3012203,$        2665103,$         545154,$        3204087,$        3087812,$         116275,$        1501950,$        1499731
Missouri,2013,$       35826577,$       26740604,$       31046734,$       26569161,$        3823123,$              0,$        2932023,$        2643523,$         586298,$        3326259,$        3220980,$         105279,$        1585689,$        1583573
Missouri,2014,$       38521675,$       26752435,$       31544025,$       26906482,$        3984225,$              0,$        3071812,$        2752941,$         596726,$        3403336,$        3343178,$          60158,$        1611331,$        1608409
Missouri,2015,$       34058252,$       28144387,$       32251224,$       27826546,$        4131805,$              0,$        3305630,$        2947563,$         488432,$        3569770,$        3511995,$          57775,$        1711260,$        1708717
Missouri,2016,$       33117194,$       28955152,$       32964751,$       28426704,$        4101063,$              0,$        3234366,$        2933126,$         518854,$        3861472,$        3773432,$          88040,$        1809926,$        1808256
Missouri,2017,$       39317010,$       29582220,$       34147087,$       29376480,$        4198902,$              0,$        3283864,$        2964094,$         553895,$        4229292,$        4128906,$         100386,$        1954934,$        1953041
Montana,1990,$        2270147,$        1828981,$        2006936,$        1651012,$         232017,$              0,$         168867,$         158894,$          12427,$          91415,$          90330,$           1085,$          58352,$          57858
Montana,1991,$        2358921,$        1885816,$        2384343,$        2058039,$         301769,$              0,$         199912,$         189176,$          14207,$         108759,$         101685,$           7074,$          68223,$          67830
Montana,1992,$        2745480,$        2205009,$        2459779,$        2108236,$         312795,$              0,$         242138,$         230454,$          14417,$         111468,$         110741,$            727,$          73021,$          72613
Montana,1993,$        3022679,$        2407806,$        2663089,$        2283275,$         329603,$              0,$         257304,$         241819,$          16912,$         116305,$         114993,$           1312,$          81016,$          80662
Montana,1994,$        3166149,$        2518229,$        2777675,$        2393009,$         370309,$              0,$         283490,$         259869,$          23319,$         120806,$         119957,$            849,$          90337,$          89821
Montana,1995,$        3292673,$        2644417,$        2987807,$        2564874,$         447711,$              0,$         348130,$         290290,$          34008,$         135834,$         127621,$           8213,$          97882,$          97135
Montana,1996,$        3430411,$        2785538,$        3136205,$        2729248,$         480105,$              0,$         372267,$         301764,$          54958,$         146068,$         144047,$           2021,$         113413,$         112849
Montana,1997,$        3523812,$        2878900,$        3203897,$        2825746,$         480703,$              0,$         396463,$         343375,$          26648,$         164903,$         161992,$           2911,$         136188,$         135365
Montana,1998,$        3625865,$        2980419,$        3262167,$        2889840,$         468631,$              0,$         378599,$         344014,$          28986,$         215283,$         206167,$           9116,$         175431,$         174598
Montana,1999,$        3725321,$        3120522,$        3511965,$        3135665,$         569958,$              0,$         458216,$         367627,$          32043,$         223606,$         215540,$           8066,$         184667,$         183735
Montana,2000,$        4204317,$        3496185,$        3718168,$        3324887,$         585064,$              0,$         460633,$         409621,$          36402,$         243830,$         235111,$           8719,$         200043,$         199209
Montana,2001,$        4224359,$        3602354,$        4048049,$        3619417,$         616130,$              0,$         475258,$         426970,$          43662,$         264052,$         256519,$           7533,$         216780,$         215628
Montana,2002,$        4033180,$        3721242,$        4265076,$        3784702,$         637400,$              0,$         484092,$         444955,$          48580,$         287020,$         275874,$          11146,$         236960,$         236222
Montana,2003,$        4608118,$        3967788,$        4436890,$        3917125,$         687805,$              0,$         526824,$         491534,$          51274,$         287614,$         282321,$           5293,$         244799,$         243061
Montana,2004,$        5349008,$        4142628,$        4691318,$        4119927,$         687819,$              0,$         567672,$         513249,$          54368,$         249210,$         246243,$           2967,$         209743,$         206926
Montana,2005,$        5691644,$        4624261,$        4809120,$        4238859,$         714627,$              0,$         589548,$         550167,$          57161,$         283420,$         281305,$           2115,$         244566,$         242652
Montana,2006,$        6130467,$        4935220,$        5194561,$        4583636,$         777241,$              0,$         637068,$         584781,$          64736,$         315977,$         313268,$           2709,$         275436,$         273009
Montana,2007,$        7128138,$        5190475,$        5553079,$        4895079,$         887014,$           9999,$         726999,$         622311,$          70481,$         161962,$         158515,$           3447,$         119372,$         115968
Montana,2008,$        6402859,$        5490621,$        6137669,$        5423506,$         962383,$           4563,$         806422,$         688800,$          66049,$         177313,$         173265,$           4048,$         132358,$         128586
Montana,2009,$        4828033,$        5711793,$        6268607,$        5419903,$         936244,$              0,$         790466,$         693076,$          69905,$         171495,$         165905,$           5590,$         124077,$         118922
Montana,2010,$        7476954,$        6008627,$        7052380,$        6004791,$         933223,$              0,$         769129,$         704387,$          73506,$         199665,$         190917,$           8748,$         152332,$         143893
Montana,2011,$        7935174,$        5768585,$        7105366,$        6082012,$         929758,$              0,$         751804,$         699655,$          78320,$         199491,$         189735,$           9756,$         151729,$         142095
Montana,2012,$        6837054,$        5916400,$        6362612,$        5363469,$         839997,$              0,$         746853,$         691941,$          76998,$         260745,$         253478,$           7267,$         218897,$         212348
Montana,2013,$        7935950,$        5899824,$        6477930,$        5459486,$         859602,$              0,$         762145,$         713867,$          81522,$         276149,$         268136,$           8013,$         231706,$         224381
Montana,2014,$        8330446,$        6005763,$        6637771,$        5589168,$         889180,$              0,$         788222,$         744289,$          83195,$         254671,$         249668,$           5003,$         206455,$         202276
Montana,2015,$        7431634,$        6230304,$        6733629,$        5691082,$         922288,$              0,$         817365,$         759851,$          87345,$         261810,$         257931,$           3879,$         209154,$         206058
Montana,2016,$        7052904,$        6201323,$        7020952,$        5976751,$         998531,$              0,$         897036,$         852588,$          83046,$         273111,$         266384,$           6727,$         214334,$         208657
Montana,2017,$        9086222,$        6643430,$        7726585,$        6550764,$        1022451,$              0,$         916569,$         834884,$          87961,$         269933,$         264203,$           5730,$         204610,$         200901
Nebraska,1990,$        3074319,$        2855533,$        2884730,$        2815040,$         546691,$              0,$         476021,$         438438,$          20630,$         224230,$         209010,$          15220,$          32620,$          31778
Nebraska,1991,$        3435806,$        3219076,$        3266203,$        3191803,$         599643,$              0,$         526411,$         481599,$          22871,$         250897,$         237479,$          13418,$          37889,$          37272
Nebraska,1992,$        3752607,$        3525758,$        3623768,$        3535292,$         636050,$              0,$         561673,$         503748,$          25725,$         281032,$         270147,$          10885,$          45050,$          44842
Nebraska,1993,$        3890233,$        3712109,$        3822975,$        3717214,$         653015,$              0,$         577371,$         533318,$          27418,$         307969,$         290755,$          17214,$          57535,$          56356
