Level: State
Unit:Total (thousands), Nominal
State,Year,(R01) Total Revenue,(R03) General Revenue,(E001) Total Expenditure,(E013) General Expenditure,(E024) Total Educ-Direct Exp,(E027) Elem Educ-Direct Exp,(E030) Total High Ed-Dir Exp,(E031) Total High Ed-Cur Oper,(E036) Educational Assistance (E19),(E052) Health & Hosp-Dir Exp,(E053) Health & Hosp-Cur Oper,(E054) Health & Hosp-Cap Out,(E055) Health-Direct Expend,(E056) Health-Current Oper (E32)
Florida,1996,$       41708897,$       33022596,$       36454217,$       33619115,$        3083929,$              0,$        2408983,$        2061429,$         330294,$        2472587,$        2411150,$          61437,$        1945818,$        1890205
Florida,1997,$       41337536,$       34186294,$       37463858,$       34657577,$        3175108,$              0,$        2484960,$        2124390,$         391935,$        2272239,$        2214786,$          57453,$        1721232,$        1669881
Florida,1998,$       51743930,$       36772379,$       39214010,$       36662429,$        3451155,$              0,$        2730282,$        2271847,$         407474,$        2331116,$        2289583,$          41533,$        1829185,$        1794028
Florida,1999,$       49208745,$       39222490,$       42458875,$       39734980,$        3755353,$              0,$        2973359,$        2551323,$         465658,$        2868093,$        2775341,$          92752,$        2316189,$        2227558
Florida,2000,$       51621214,$       41665409,$       45207930,$       42485698,$        4153762,$              0,$        3203318,$        2810137,$         542116,$        3271799,$        3145421,$         126378,$        2661342,$        2542970
Florida,2001,$       46370565,$       44197759,$       50264767,$       46595398,$        4743865,$              0,$        3572249,$        3059935,$         681946,$        2776126,$        2663270,$         112856,$        2557150,$        2448784
Florida,2002,$       48489136,$       47593877,$       51838351,$       47291632,$        5105358,$              0,$        3718597,$        3252131,$         784557,$        2838511,$        2721805,$         116706,$        2658285,$        2544184
Florida,2003,$       55212605,$       49584279,$       56317331,$       50217755,$        5605933,$          20461,$        4173334,$        3597123,$         835961,$        3112867,$        2992575,$         120292,$        2888236,$        2771765
Florida,2004,$       74691770,$       56033593,$       58410670,$       52499863,$        5747459,$              0,$        4468023,$        3793155,$        1077129,$        3050591,$        2960600,$          89991,$        2814545,$        2727608
Florida,2005,$       77356361,$       62354015,$       71154650,$       63004339,$        6319146,$              0,$        4756445,$        4117154,$        1351527,$        3503320,$        3386453,$         116867,$        2925992,$        2843826
Florida,2006,$       86669544,$       69492660,$       76395569,$       68119127,$        6884746,$              0,$        5008422,$        4377168,$        1416346,$        3589029,$        3445199,$         143830,$        2987225,$        2895685
Florida,2007,$       98081462,$       69044311,$       73017848,$       65974460,$        7489549,$              0,$        5311959,$        4649137,$        1606935,$        3994694,$        3815398,$         179296,$        3297107,$        3175393
Florida,2008,$       68885833,$       71467243,$       77543853,$       70387170,$        7923465,$              0,$        5526534,$        4815838,$        1777194,$        4421627,$        4210969,$         210658,$        3590599,$        3455705
Florida,2009,$       45718315,$       66733795,$       75653366,$       66993514,$        8259452,$              0,$        5870956,$        5130774,$        1787732,$        4535401,$        4329370,$         206031,$        3642746,$        3507504
Florida,2010,$       90757028,$       70445079,$       81831697,$       68685083,$        8784385,$              0,$        6137408,$        5304545,$        1792669,$        4556207,$        4408592,$         147615,$        3674819,$        3564391
Florida,2011,$      105241845,$       74366596,$       84633065,$       71984886,$        9278754,$              0,$        6453315,$        5619433,$        1885090,$        4689080,$        4529889,$         159191,$        3740222,$        3633213
Florida,2012,$       75185357,$       71206376,$       80546775,$       69447822,$        9720705,$              0,$        6649586,$        5986973,$        1738689,$        4732512,$        4611029,$         121483,$        3766888,$        3691532
Florida,2013,$       97449605,$       74754387,$       80496743,$       71158384,$        9986467,$              0,$        6695634,$        6097759,$        1772410,$        4584355,$        4477737,$         106618,$        3763754,$        3687582
Florida,2014,$      105312990,$       79033771,$       83123147,$       73082329,$        9520902,$              0,$        6903474,$        6365564,$        1145516,$        4751504,$        4668534,$          82970,$        3809364,$        3776066
Florida,2015,$       90206013,$       80794569,$       84802960,$       76164790,$        9944298,$              0,$        7199975,$        6696351,$        1211313,$        4781404,$        4676193,$         105211,$        3726857,$        3703643
Florida,2016,$       86483094,$       81650418,$       85763417,$       76608849,$       11176746,$              0,$        7837214,$        7321680,$        1573064,$        4825402,$        4711017,$         114385,$        3716953,$        3684818
Florida,2017,$      106907885,$       84793586,$       90301871,$       80646952,$       11301597,$              0,$        7874697,$        7330390,$        1642662,$        5164542,$        5049273,$         115269,$        3949078,$        3918488
Georgia,1990,$       13197220,$       11189773,$       12213255,$       11392913,$        1883546,$              0,$        1485233,$        1278873,$          51325,$         675204,$         660695,$          14509,$         193876,$         192310
Georgia,1991,$       13866289,$       11863592,$       13286331,$       12280305,$        1868219,$              0,$        1541624,$        1360522,$          47410,$         718723,$         681599,$          37124,$         201302,$         199854
Georgia,1992,$       14761090,$       12377277,$       14053580,$       12781046,$        1864529,$              0,$        1555837,$        1375954,$          40720,$         737196,$         706255,$          30941,$         216350,$         215685
Georgia,1993,$       16564725,$       14076759,$       15308038,$       14061084,$        2047560,$              0,$        1697444,$        1543660,$          68074,$         796775,$         760528,$          36247,$         231850,$         230695
Georgia,1994,$       18264650,$       15529788,$       16822841,$       15642762,$        2455888,$              0,$        1986528,$        1716588,$         118893,$         818555,$         801384,$          17171,$         252515,$         250892
