Level: Local,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit:Total (thousands), Nominal,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Year,(R05) Total Taxes,(R06) Property Tax (T01),(R07) NonProperty Taxes,(R08) Tot Sales & Gr Rec Tax,(R09) Total Gen Sales Tax (T09),(R10) Total Select Sales Tax,(R11) Alcoholic Beverage Tax (T10),(R12) Amusement Tax (T11),(R13) Insurance Premium Tax (T12),(R14) Motor Fuels Tax (T13),(R15) Parimutuels Tax (T14),(R16) Public Utility Tax (T15),(R17) Tobacco Tax (T16),(R18) Other Select Sales Tax (T19),(R19) Total License Taxes,(R20) Alcoholic Beverage Lic (T20),(R21) Corporation License (T22),(R22) Motor Veh & Oper Lic,(R23) Motor Vehicle License (T24),(R24) Motor Veh Oper License (T25),(R25) Other License Taxes,(R26) Total Income Taxes,(R27) Individual Income Tax (T40),(R28) Corp Net Income Tax (T41),(R29) Death and Gift Tax (T50),(R30) Taxes NEC
United States,1994,"$252,209,559.00","$188,755,008.00","$63,454,551.00","$37,757,270.00","$26,034,273.00","$11,722,997.00","$293,401.00",$0.00,"$36,333.00","$712,893.00",$0.00,"$6,572,165.00","$185,930.00","$3,922,275.00","$963,263.00","$2,584.00","$4,871.00","$928,906.00","$927,171.00","$1,735.00","$26,902.00","$14,309,478.00","$11,682,120.00","$2,627,358.00","$11,714.00","$10,412,826.00"
United States,1995,"$261,429,791.00","$193,932,941.00","$67,496,850.00","$40,417,947.00","$27,930,016.00","$12,487,931.00","$308,753.00",$0.00,"$34,703.00","$765,830.00",$0.00,"$6,928,424.00","$188,034.00","$4,262,187.00","$1,127,729.00","$15,029.00","$3,924.00","$1,084,645.00","$1,080,682.00","$3,963.00","$24,131.00","$14,651,265.00","$12,320,470.00","$2,330,795.00","$16,807.00","$11,283,102.00"
United States,1996,"$270,601,514.00","$199,467,270.00","$71,134,244.00","$42,832,246.00","$29,709,124.00","$13,123,122.00","$274,644.00",$0.00,"$33,121.00","$843,785.00",$0.00,"$7,305,562.00","$182,509.00","$4,483,501.00","$1,120,419.00","$2,646.00","$4,093.00","$1,089,907.00","$1,088,247.00","$1,660.00","$23,773.00","$15,988,957.00","$13,295,530.00","$2,693,427.00","$32,175.00","$11,160,447.00"
United States,1997,"$284,107,313.00","$208,574,413.00","$75,532,900.00","$44,991,368.00","$30,959,790.00","$14,031,578.00","$318,888.00",$0.00,"$42,625.00","$880,679.00",$0.00,"$7,598,367.00","$181,087.00","$5,009,932.00","$1,218,735.00","$2,071.00","$3,897.00","$1,189,984.00","$1,188,379.00","$1,605.00","$22,783.00","$17,194,413.00","$14,091,852.00","$3,102,561.00","$27,314.00","$12,101,070.00"
United States,1998,"$300,911,754.00","$219,491,504.00","$81,420,250.00","$48,240,005.00","$33,480,798.00","$14,759,207.00","$281,579.00",$0.00,"$37,096.00","$901,999.00",$0.00,"$8,000,698.00","$208,656.00","$5,329,179.00","$1,251,434.00","$2,016.00","$3,796.00","$1,223,423.00","$1,221,859.00","$1,564.00","$22,199.00","$18,838,176.00","$15,515,186.00","$3,322,990.00","$32,256.00","$13,058,379.00"
United States,1999,"$315,398,266.00","$228,017,371.00","$87,380,895.00","$51,625,669.00","$36,248,736.00","$15,376,933.00","$291,738.00",$0.00,"$25,671.00","$925,485.00",$0.00,"$8,281,383.00","$204,679.00","$5,647,977.00","$1,287,341.00","$1,950.00","$3,676.00","$1,260,249.00","$1,258,737.00","$1,512.00","$21,466.00","$19,701,334.00","$16,544,588.00","$3,156,746.00","$26,247.00","$14,740,304.00"
United States,2000,"$332,695,777.00","$238,181,583.00","$94,514,194.00","$57,143,290.00","$40,651,254.00","$16,492,036.00","$289,162.00",$0.00,"$30,882.00","$970,692.00",$0.00,"$8,600,458.00","$193,443.00","$6,407,399.00","$1,328,822.00","$1,833.00","$3,458.00","$1,303,348.00","$1,301,926.00","$1,422.00","$20,183.00","$20,624,511.00","$17,087,625.00","$3,536,886.00","$35,992.00","$15,381,579.00"
United States,2001,"$354,439,491.00","$253,258,818.00","$101,180,673.00","$62,198,883.00","$44,109,582.00","$18,089,301.00","$355,161.00",$0.00,"$33,356.00","$1,019,517.00",$0.00,"$9,394,307.00","$189,743.00","$7,097,217.00","$1,331,636.00","$1,734.00","$3,266.00","$1,307,542.00","$1,306,197.00","$1,345.00","$19,094.00","$21,862,783.00","$18,254,090.00","$3,608,693.00","$51,072.00","$15,736,299.00"
United States,2002,"$369,909,641.00","$269,489,093.00","$100,420,548.00","$61,761,893.00","$43,321,430.00","$18,440,463.00","$350,948.00",$0.00,"$35,502.00","$1,076,213.00",$0.00,"$10,005,774.00","$190,847.00","$6,781,179.00","$1,325,089.00","$2,103.00","$3,960.00","$1,295,871.00","$1,294,240.00","$1,631.00","$23,155.00","$20,214,406.00","$17,185,681.00","$3,028,725.00","$125,889.00","$16,993,271.00"
United States,2003,"$389,980,887.00","$286,212,675.00","$103,768,212.00","$63,975,346.00","$44,625,594.00","$19,349,752.00","$357,830.00",$0.00,"$41,281.00","$1,109,587.00",$0.00,"$10,457,634.00","$324,636.00","$7,058,784.00","$1,406,308.00","$2,505.00","$4,716.00","$1,371,518.00","$1,369,575.00","$1,943.00","$27,569.00","$20,459,097.00","$17,474,507.00","$2,984,590.00","$29,944.00","$17,897,517.00"
United States,2004,"$420,141,385.00","$307,227,383.00","$112,914,002.00","$67,739,606.00","$47,393,665.00","$20,345,941.00","$392,410.00",$0.00,"$47,452.00","$1,181,153.00",$0.00,"$10,733,729.00","$322,515.00","$7,668,682.00","$1,548,028.00",$0.00,"$88,347.00","$1,409,737.00","$1,404,628.00","$5,109.00","$49,944.00","$22,446,390.00","$18,959,634.00","$3,486,756.00","$26,466.00","$21,153,512.00"
United States,2005,"$447,900,824.00","$324,436,835.00","$123,463,989.00","$71,681,713.00","$50,030,859.00","$21,650,854.00","$419,320.00","$319,717.00","$48,888.00","$1,199,688.00","$57,943.00","$11,425,551.00","$420,357.00","$7,759,390.00","$14,225,880.00","$73,756.00","$4,486.00","$1,442,772.00","$1,435,202.00","$7,570.00","$12,704,866.00","$25,240,292.00","$20,675,556.00","$4,564,736.00","$82,211.00","$12,233,893.00"
United States,2006,"$489,693,462.00","$352,275,390.00","$137,418,072.00","$79,785,598.00","$56,198,960.00","$23,586,638.00","$428,601.00","$401,197.00","$194,797.00","$1,269,429.00","$63,100.00","$12,177,191.00","$469,301.00","$8,583,022.00","$16,557,695.00","$84,444.00","$20,016.00","$1,497,442.00","$1,489,888.00","$7,554.00","$14,955,793.00","$28,632,828.00","$23,021,215.00","$5,611,613.00","$129,739.00","$12,312,212.00"
United States,2007,"$525,792,393.00","$376,080,079.00","$149,712,314.00","$87,625,627.00","$62,159,297.00","$25,466,330.00","$439,989.00","$572,555.00","$695,387.00","$1,305,659.00","$61,175.00","$12,790,453.00","$529,302.00","$9,071,810.00","$17,024,982.00","$171,431.00","$47,064.00","$1,584,173.00","$1,575,589.00","$8,584.00","$15,222,314.00","$32,125,757.00","$24,414,971.00","$7,710,786.00","$194,567.00","$12,741,381.00"
United States,2008,"$549,878,466.00","$396,850,357.00","$153,028,109.00","$91,120,258.00","$64,574,378.00","$26,545,880.00","$458,302.00","$624,985.00","$724,177.00","$1,328,739.00","$63,359.00","$13,281,253.00","$514,865.00","$9,550,200.00","$16,911,419.00","$152,217.00","$43,465.00","$1,647,296.00","$1,639,618.00","$7,678.00","$15,068,441.00","$34,276,495.00","$26,906,055.00","$7,370,440.00","$248,930.00","$10,471,007.00"
United States,2009,"$568,681,604.00","$421,835,462.00","$146,846,142.00","$91,524,174.00","$64,518,612.00","$27,005,562.00","$537,719.00","$595,043.00","$701,000.00","$1,352,322.00","$34,339.00","$13,766,821.00","$472,516.00","$9,545,802.00","$15,211,271.00","$152,625.00","$45,148.00","$1,630,421.00","$1,622,601.00","$7,820.00","$13,383,077.00","$32,063,038.00","$25,060,735.00","$7,002,303.00","$291,385.00","$7,756,274.00"
United States,2010,"$572,917,382.00","$429,493,533.00","$143,423,849.00","$91,048,493.00","$64,184,799.00","$26,863,694.00","$510,869.00","$628,449.00","$703,381.00","$1,290,554.00","$36,326.00","$13,833,743.00","$444,371.00","$9,416,001.00","$14,184,805.00","$153,811.00","$40,322.00","$1,604,840.00","$1,597,608.00","$7,232.00","$12,385,832.00","$30,625,380.00","$24,523,689.00","$6,101,691.00","$262,280.00","$7,302,891.00"
United States,2011,"$581,791,062.00","$431,528,028.00","$150,263,034.00","$94,503,465.00","$66,854,464.00","$27,649,001.00","$509,098.00","$618,174.00","$699,715.00","$1,329,087.00","$33,196.00","$14,167,032.00","$412,263.00","$9,880,436.00","$14,616,732.00","$158,916.00","$44,886.00","$1,664,575.00","$1,655,009.00","$9,566.00","$12,748,355.00","$32,821,331.00","$25,679,916.00","$7,141,415.00","$326,167.00","$7,995,339.00"
United States,2012,"$589,466,746.00","$432,746,804.00","$156,719,942.00","$99,015,043.00","$70,477,435.00","$28,537,608.00","$532,498.00","$661,185.00","$784,837.00","$1,312,072.00","$32,735.00","$14,118,066.00","$409,571.00","$10,686,644.00","$15,310,392.00","$173,023.00","$86,572.00","$1,783,729.00","$1,771,581.00","$12,148.00","$13,267,068.00","$34,467,987.00","$27,307,379.00","$7,160,608.00","$370,125.00","$7,556,395.00"
United States,2013,"$605,008,854.00","$440,282,703.00","$164,726,151.00","$102,193,504.00","$73,179,858.00","$29,013,646.00","$577,908.00","$642,475.00","$782,621.00","$1,337,764.00","$30,520.00","$13,979,641.00","$403,936.00","$11,258,781.00","$15,947,576.00","$179,529.00","$94,383.00","$1,834,751.00","$1,822,357.00","$12,394.00","$13,838,913.00","$37,767,004.00","$29,785,199.00","$7,981,805.00","$299,277.00","$8,518,790.00"
United States,2014,"$624,537,043.00","$450,875,250.00","$173,661,793.00","$107,108,043.00","$76,966,354.00","$30,141,689.00","$586,925.00","$659,693.00","$875,025.00","$1,305,915.00","$29,560.00","$14,190,496.00","$420,424.00","$12,073,651.00","$17,134,016.00","$189,178.00","$91,489.00","$1,857,491.00","$1,848,929.00","$8,562.00","$14,995,858.00","$39,504,308.00","$31,438,495.00","$8,065,813.00","$246,121.00","$9,669,305.00"
United States,2015,"$652,271,050.00","$468,968,349.00","$183,302,701.00","$113,649,695.00","$82,026,029.00","$31,623,666.00","$617,083.00","$714,750.00","$910,553.00","$1,330,631.00","$28,741.00","$14,612,018.00","$457,145.00","$12,952,745.00","$18,151,518.00","$194,140.00","$94,171.00","$1,941,132.00","$1,931,938.00","$9,194.00","$15,922,075.00","$40,821,047.00","$32,303,458.00","$8,517,589.00","$167,498.00","$10,512,943.00"
United States,2016,"$678,759,136.00","$488,694,182.00","$190,064,954.00","$118,467,185.00","$85,789,047.00","$32,678,138.00","$648,603.00","$766,169.00","$952,970.00","$1,394,561.00","$27,294.00","$14,541,493.00","$405,939.00","$13,941,109.00","$19,181,564.00","$202,240.00","$88,297.00","$2,009,680.00","$2,000,385.00","$9,295.00","$16,881,347.00","$40,939,634.00","$32,933,925.00","$8,005,709.00","$267,158.00","$11,209,413.00"
United States,2017,"$706,752,529.00","$509,425,984.00","$197,326,545.00","$123,660,318.00","$89,445,066.00","$34,215,252.00","$676,955.00","$809,382.00","$1,012,559.00","$1,584,742.00","$38,480.00","$14,809,055.00","$387,782.00","$14,896,297.00","$20,611,894.00","$209,685.00","$86,407.00","$2,149,994.00","$2,138,991.00","$11,003.00","$18,165,808.00","$41,132,865.00","$33,051,333.00","$8,081,532.00","$227,385.00","$11,694,083.00"
Alabama,1994,"$1,988,225.00","$713,135.00","$1,275,090.00","$943,348.00","$814,192.00","$129,156.00","$35,588.00",$0.00,$0.00,"$39,226.00",$0.00,"$11,278.00","$15,069.00","$27,995.00","$17,137.00",$0.00,$0.00,"$17,137.00","$17,137.00",$0.00,$0.00,"$63,194.00","$63,194.00",$0.00,$0.00,"$251,411.00"
Alabama,1995,"$2,207,653.00","$800,562.00","$1,407,091.00","$1,047,393.00","$889,110.00","$158,283.00","$36,232.00",$0.00,$0.00,"$44,770.00",$0.00,"$17,254.00","$16,466.00","$43,561.00","$18,776.00",$0.00,$0.00,"$18,776.00","$18,776.00",$0.00,$0.00,"$63,585.00","$63,585.00",$0.00,$0.00,"$277,337.00"
Alabama,1996,"$2,373,978.00","$864,317.00","$1,509,661.00","$1,130,997.00","$960,655.00","$170,342.00","$38,116.00",$0.00,$0.00,"$47,155.00",$0.00,"$19,190.00","$17,103.00","$48,778.00","$21,091.00",$0.00,$0.00,"$21,091.00","$21,091.00",$0.00,$0.00,"$65,452.00","$65,452.00",$0.00,$0.00,"$292,121.00"
Alabama,1997,"$2,473,544.00","$903,702.00","$1,569,842.00","$1,170,845.00","$1,000,101.00","$170,744.00","$33,695.00",$0.00,$0.00,"$44,669.00",$0.00,"$26,210.00","$15,968.00","$50,202.00","$20,478.00",$0.00,$0.00,"$20,478.00","$20,478.00",$0.00,$0.00,"$72,096.00","$72,096.00",$0.00,$0.00,"$306,423.00"
Alabama,1998,"$2,602,829.00","$943,782.00","$1,659,047.00","$1,226,346.00","$1,049,346.00","$177,000.00","$36,766.00",$0.00,$0.00,"$42,667.00",$0.00,"$21,213.00","$16,951.00","$59,403.00","$22,408.00",$0.00,$0.00,"$22,408.00","$22,408.00",$0.00,$0.00,"$93,605.00","$93,605.00",$0.00,$0.00,"$316,688.00"
Alabama,1999,"$2,738,177.00","$1,027,297.00","$1,710,880.00","$1,256,729.00","$1,091,365.00","$165,364.00","$29,074.00",$0.00,$0.00,"$40,725.00",$0.00,"$25,911.00","$15,212.00","$54,442.00","$20,336.00",$0.00,$0.00,"$20,336.00","$20,336.00",$0.00,$0.00,"$137,317.00","$137,317.00",$0.00,$0.00,"$296,498.00"
Alabama,2000,"$2,976,651.00","$1,160,324.00","$1,816,327.00","$1,357,823.00","$1,166,472.00","$191,351.00","$31,544.00",$0.00,$0.00,"$46,588.00",$0.00,"$32,785.00","$14,136.00","$66,298.00","$21,364.00",$0.00,$0.00,"$21,364.00","$21,364.00",$0.00,$0.00,"$87,610.00","$87,610.00",$0.00,$0.00,"$349,530.00"
Alabama,2002,"$3,209,062.00","$1,278,422.00","$1,930,640.00","$1,416,601.00","$1,220,071.00","$196,530.00","$31,511.00",$0.00,$0.00,"$45,296.00",$0.00,"$39,568.00","$15,280.00","$64,875.00","$23,671.00",$0.00,$0.00,"$23,671.00","$23,671.00",$0.00,$0.00,"$95,865.00","$95,865.00",$0.00,$0.00,"$394,503.00"
Alabama,2004,"$3,517,124.00","$1,440,385.00","$2,076,739.00","$1,541,447.00","$1,318,918.00","$222,529.00","$33,898.00",$0.00,$0.00,"$47,561.00",$0.00,"$44,842.00","$17,153.00","$79,075.00","$25,242.00",$0.00,$0.00,"$25,242.00","$25,242.00",$0.00,$0.00,"$100,729.00","$100,729.00",$0.00,$0.00,"$409,321.00"
Alabama,2005,"$3,886,797.00","$1,561,254.00","$2,325,543.00","$1,743,966.00","$1,500,117.00","$243,849.00","$37,667.00",$346.00,$0.00,"$56,229.00",$184.00,"$45,473.00","$23,060.00","$80,890.00","$433,547.00",$584.00,$0.00,"$27,804.00","$27,804.00",$0.00,"$405,159.00","$108,205.00","$108,205.00",$0.00,$0.00,"$39,825.00"
Alabama,2006,"$4,226,349.00","$1,664,179.00","$2,562,170.00","$1,896,210.00","$1,622,241.00","$273,969.00","$39,678.00",$249.00,$0.00,"$65,415.00",$106.00,"$50,691.00","$29,992.00","$87,838.00","$486,351.00","$1,673.00",$0.00,"$32,703.00","$32,703.00",$0.00,"$451,975.00","$110,203.00","$110,203.00",$0.00,$0.00,"$69,406.00"
Alabama,2007,"$4,642,148.00","$1,809,980.00","$2,832,168.00","$2,014,314.00","$1,735,718.00","$278,596.00","$35,745.00",$512.00,$0.00,"$76,815.00",$192.00,"$39,472.00","$30,059.00","$95,801.00","$561,694.00","$3,312.00",$0.00,"$24,460.00","$24,460.00",$0.00,"$533,922.00","$130,196.00","$130,196.00",$0.00,$173.00,"$125,791.00"
Alabama,2008,"$4,951,589.00","$2,008,422.00","$2,943,167.00","$2,128,746.00","$1,849,207.00","$279,539.00","$39,078.00",$392.00,$0.00,"$75,968.00",$195.00,"$38,069.00","$30,809.00","$95,028.00","$615,843.00","$4,447.00",$0.00,"$21,239.00","$21,239.00",$0.00,"$590,157.00","$110,615.00","$110,615.00",$0.00,$114.00,"$87,849.00"
Alabama,2009,"$5,247,534.00","$2,255,467.00","$2,992,067.00","$2,153,447.00","$1,876,101.00","$277,346.00","$34,089.00",$647.00,$0.00,"$77,737.00",$250.00,"$43,398.00","$23,831.00","$97,394.00","$571,466.00","$4,585.00",$0.00,"$23,176.00","$23,176.00",$0.00,"$543,705.00","$130,875.00","$130,875.00",$0.00,$0.00,"$136,279.00"
Alabama,2010,"$5,146,165.00","$2,254,294.00","$2,891,871.00","$2,143,088.00","$1,863,987.00","$279,101.00","$31,748.00",$248.00,$0.00,"$76,177.00","$2,604.00","$51,341.00","$23,191.00","$93,792.00","$508,531.00","$3,330.00",$0.00,"$21,968.00","$21,968.00",$0.00,"$483,233.00","$108,059.00","$108,059.00",$0.00,$0.00,"$132,193.00"
Alabama,2011,"$5,258,179.00","$2,264,139.00","$2,994,040.00","$2,131,940.00","$1,851,496.00","$280,444.00","$31,167.00",$0.00,$0.00,"$70,353.00","$2,610.00","$55,589.00","$27,795.00","$92,930.00","$528,761.00","$2,247.00",$0.00,"$19,944.00","$19,944.00",$0.00,"$506,570.00","$109,117.00","$109,117.00",$0.00,$0.00,"$224,222.00"
Alabama,2012,"$5,208,333.00","$2,233,924.00","$2,974,409.00","$2,208,171.00","$1,881,624.00","$326,547.00","$38,302.00",$0.00,$0.00,"$83,482.00",$214.00,"$76,134.00","$30,316.00","$98,099.00","$501,517.00","$4,874.00",$0.00,"$19,388.00","$19,388.00",$0.00,"$477,255.00","$103,749.00","$103,749.00",$0.00,$0.00,"$160,972.00"
Alabama,2013,"$5,246,264.00","$2,224,396.00","$3,021,868.00","$2,266,254.00","$1,930,738.00","$335,516.00","$40,256.00",$0.00,$0.00,"$83,950.00",$266.00,"$70,807.00","$33,213.00","$107,024.00","$507,892.00","$5,097.00",$0.00,"$20,708.00","$20,708.00",$0.00,"$482,087.00","$104,042.00","$104,042.00",$0.00,$0.00,"$143,680.00"
Alabama,2014,"$5,223,920.00","$2,216,427.00","$3,007,493.00","$2,255,694.00","$1,930,537.00","$325,157.00","$39,420.00",$0.00,$0.00,"$81,601.00",$232.00,"$72,022.00","$32,272.00","$99,610.00","$505,075.00","$5,458.00",$0.00,"$22,062.00","$22,062.00",$0.00,"$477,555.00","$105,035.00","$105,035.00",$0.00,$0.00,"$141,689.00"
Alabama,2015,"$5,424,655.00","$2,242,862.00","$3,181,793.00","$2,398,566.00","$2,059,781.00","$338,785.00","$40,879.00",$0.00,$0.00,"$77,417.00",$268.00,"$73,900.00","$33,061.00","$113,260.00","$530,602.00","$5,767.00",$0.00,"$23,682.00","$23,682.00",$0.00,"$501,153.00","$114,126.00","$114,126.00",$0.00,$0.00,"$138,499.00"
Alabama,2016,"$5,669,833.00","$2,328,207.00","$3,341,626.00","$2,550,355.00","$2,188,131.00","$362,224.00","$43,042.00",$0.00,$0.00,"$80,882.00",$263.00,"$77,569.00","$33,479.00","$126,989.00","$542,990.00","$5,626.00",$0.00,"$22,717.00","$22,717.00",$0.00,"$514,647.00","$119,496.00","$119,496.00",$0.00,$0.00,"$128,785.00"
Alabama,2017,"$6,010,623.00","$2,440,782.00","$3,569,841.00","$2,812,337.00","$2,410,949.00","$401,388.00","$48,367.00",$16.00,$0.00,"$99,213.00",$54.00,"$82,140.00","$29,179.00","$142,419.00","$558,833.00","$5,352.00",$0.00,"$21,752.00","$21,752.00",$0.00,"$531,729.00","$124,271.00","$124,271.00",$0.00,$0.00,"$74,400.00"
Florida,1994,"$12,691,107.00","$10,318,697.00","$2,372,410.00","$1,992,056.00","$300,993.00","$1,691,063.00",$0.00,$0.00,$0.00,"$341,025.00",$0.00,"$1,053,114.00",$0.00,"$296,924.00","$30,004.00",$0.00,$0.00,"$30,004.00","$30,004.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$350,350.00"
Florida,1995,"$13,341,346.00","$10,738,831.00","$2,602,515.00","$2,175,169.00","$342,298.00","$1,832,871.00",$0.00,$0.00,$0.00,"$381,409.00",$0.00,"$1,164,985.00",$0.00,"$286,477.00","$30,467.00",$0.00,$0.00,"$30,467.00","$30,467.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$396,879.00"
Florida,1996,"$13,828,730.00","$11,058,398.00","$2,770,332.00","$2,337,977.00","$356,008.00","$1,981,969.00",$0.00,$0.00,$0.00,"$448,818.00",$0.00,"$1,208,954.00",$0.00,"$324,197.00","$30,516.00",$0.00,$0.00,"$30,516.00","$30,516.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$401,839.00"
Florida,1997,"$14,647,445.00","$11,542,524.00","$3,104,921.00","$2,611,316.00","$444,901.00","$2,166,415.00",$0.00,$0.00,$0.00,"$484,704.00",$0.00,"$1,320,639.00",$0.00,"$361,072.00","$31,764.00",$0.00,$0.00,"$31,764.00","$31,764.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$461,841.00"
Florida,1998,"$15,442,064.00","$12,145,905.00","$3,296,159.00","$2,774,811.00","$510,492.00","$2,264,319.00",$0.00,$0.00,$0.00,"$493,857.00",$0.00,"$1,367,214.00",$0.00,"$403,248.00","$32,537.00",$0.00,$0.00,"$32,537.00","$32,537.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$488,811.00"
Florida,1999,"$16,446,369.00","$12,940,138.00","$3,506,231.00","$2,934,772.00","$583,327.00","$2,351,445.00",$99.00,$0.00,$0.00,"$516,095.00",$0.00,"$1,359,350.00","$2,114.00","$473,787.00","$33,031.00",$0.00,$0.00,"$33,031.00","$33,031.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$538,428.00"
Florida,2000,"$17,119,419.00","$13,335,837.00","$3,783,582.00","$3,133,257.00","$545,903.00","$2,587,354.00",$0.00,$0.00,$0.00,"$545,867.00",$0.00,"$1,445,404.00",$0.00,"$596,083.00","$28,237.00",$0.00,$0.00,"$28,237.00","$28,237.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$622,088.00"
Florida,2002,"$19,533,200.00","$15,371,576.00","$4,161,624.00","$3,479,953.00","$625,569.00","$2,854,384.00",$0.00,$0.00,$0.00,"$569,724.00",$0.00,"$1,614,475.00",$0.00,"$670,185.00","$16,846.00",$0.00,$0.00,"$16,846.00","$16,846.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$664,825.00"
Florida,2004,"$23,255,171.00","$18,223,505.00","$5,031,666.00","$3,998,350.00","$868,101.00","$3,130,249.00",$0.00,$0.00,$0.00,"$666,189.00",$0.00,"$1,811,439.00",$0.00,"$652,621.00","$10,155.00",$0.00,$0.00,"$10,155.00","$10,155.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,023,161.00"
Florida,2005,"$25,909,990.00","$20,092,054.00","$5,817,936.00","$4,237,701.00","$960,847.00","$3,276,854.00",$0.00,$0.00,$0.00,"$671,857.00",$742.00,"$2,041,793.00",$0.00,"$562,462.00","$1,310,587.00",$637.00,$0.00,"$13,800.00","$13,800.00",$0.00,"$1,296,150.00",$410.00,$0.00,$410.00,$0.00,"$269,238.00"
Florida,2006,"$29,502,654.00","$22,946,984.00","$6,555,670.00","$4,687,464.00","$1,115,552.00","$3,571,912.00",$0.00,$0.00,$0.00,"$746,389.00","$5,744.00","$2,161,850.00",$0.00,"$657,929.00","$1,707,772.00",$356.00,$0.00,$0.00,$0.00,$0.00,"$1,707,416.00",$0.00,$0.00,$0.00,$0.00,"$160,434.00"
Florida,2007,"$34,192,171.00","$26,833,263.00","$7,358,908.00","$5,078,890.00","$1,348,292.00","$3,730,598.00",$0.00,$731.00,"$21,929.00","$839,665.00","$2,004.00","$2,274,070.00",$0.00,"$592,199.00","$2,034,265.00","$1,340.00","$3,759.00","$2,191.00","$2,191.00",$0.00,"$2,026,975.00",$0.00,$0.00,$0.00,$0.00,"$245,753.00"
Florida,2008,"$37,514,614.00","$30,278,629.00","$7,235,985.00","$5,142,393.00","$1,336,215.00","$3,806,178.00",$0.00,$0.00,"$26,415.00","$842,782.00","$1,884.00","$2,275,721.00",$0.00,"$659,376.00","$1,904,524.00","$1,414.00","$2,863.00","$1,163.00","$1,163.00",$0.00,"$1,899,084.00",$0.00,$0.00,$0.00,$0.00,"$189,068.00"
Florida,2009,"$36,297,644.00","$29,660,048.00","$6,637,596.00","$4,824,218.00","$1,334,100.00","$3,490,118.00",$0.00,$0.00,"$17,729.00","$884,064.00",$892.00,"$1,935,566.00",$0.00,"$651,867.00","$1,712,529.00",$232.00,$0.00,$44.00,$44.00,$0.00,"$1,712,253.00",$0.00,$0.00,$0.00,$0.00,"$100,849.00"
Florida,2010,"$34,389,200.00","$28,136,139.00","$6,253,061.00","$4,810,057.00","$1,293,305.00","$3,516,752.00",$0.00,$0.00,"$15,948.00","$840,127.00",$892.00,"$2,020,459.00",$0.00,"$639,326.00","$1,375,316.00",$130.00,$0.00,$43.00,$43.00,$0.00,"$1,375,143.00",$0.00,$0.00,$0.00,$0.00,"$67,688.00"
Florida,2011,"$32,745,036.00","$25,913,334.00","$6,831,702.00","$5,312,683.00","$1,776,302.00","$3,536,381.00",$0.00,$0.00,"$19,154.00","$859,951.00",$892.00,"$2,020,310.00",$0.00,"$636,074.00","$1,383,134.00",$126.00,$0.00,$38.00,$38.00,$0.00,"$1,382,970.00",$0.00,$0.00,$0.00,$0.00,"$135,885.00"
Florida,2012,"$31,648,916.00","$24,633,460.00","$7,015,456.00","$5,458,741.00","$1,828,040.00","$3,630,701.00",$0.00,$0.00,"$25,111.00","$848,124.00","$1,335.00","$2,038,802.00",$0.00,"$717,329.00","$1,430,655.00",$385.00,$0.00,$18.00,$18.00,$0.00,"$1,430,252.00",$0.00,$0.00,$0.00,$0.00,"$126,060.00"
Florida,2013,"$30,648,154.00","$23,707,300.00","$6,940,854.00","$5,335,848.00","$1,839,755.00","$3,496,093.00",$0.00,$0.00,"$26,271.00","$815,550.00",$919.00,"$1,916,647.00",$0.00,"$736,706.00","$1,480,118.00",$375.00,$0.00,$24.00,$24.00,$0.00,"$1,479,719.00",$0.00,$0.00,$0.00,$0.00,"$124,888.00"
Florida,2014,"$30,511,976.00","$23,367,944.00","$7,144,032.00","$5,346,178.00","$1,850,952.00","$3,495,226.00",$0.00,$0.00,"$36,248.00","$712,523.00",$0.00,"$1,999,976.00",$0.00,"$746,479.00","$1,668,569.00",$565.00,$0.00,$17.00,$17.00,$0.00,"$1,667,987.00",$0.00,$0.00,$0.00,$0.00,"$129,285.00"
Florida,2015,"$32,151,911.00","$24,495,974.00","$7,655,937.00","$5,692,850.00","$2,050,538.00","$3,642,312.00",$0.00,$0.00,"$34,069.00","$742,609.00",$0.00,"$2,022,774.00",$0.00,"$842,860.00","$1,852,368.00",$668.00,$0.00,$21.00,$21.00,$0.00,"$1,851,679.00",$0.00,$0.00,$0.00,$0.00,"$110,719.00"
Florida,2016,"$34,214,658.00","$26,098,465.00","$8,116,193.00","$6,014,620.00","$2,226,272.00","$3,788,348.00",$0.00,$0.00,"$33,948.00","$770,862.00",$0.00,"$2,040,944.00",$0.00,"$942,594.00","$1,983,579.00",$636.00,$0.00,$19.00,$19.00,$0.00,"$1,982,924.00",$0.00,$0.00,$0.00,$0.00,"$117,994.00"
