Level: State
Unit:Total (thousands), Nominal
State,Year,(R01) Total Revenue,(R05) Total Taxes,(R06) Property Tax (T01),(R07) NonProperty Taxes,(R08) Tot Sales & Gr Rec Tax,(R09) Total Gen Sales Tax (T09),(R10) Total Select Sales Tax,(R11) Alcoholic Beverage Tax (T10),(R12) Amusement Tax (T11),(R13) Insurance Premium Tax (T12),(R14) Motor Fuels Tax (T13),(R15) Parimutuels Tax (T14),(R16) Public Utility Tax (T15),(R17) Tobacco Tax (T16),(R18) Other Select Sales Tax (T19),(R19) Total License Taxes,(R20) Alcoholic Beverage Lic (T20),(R21) Corporation License (T22),(R22) Motor Veh & Oper Lic,(R23) Motor Vehicle License (T24),(R24) Motor Veh Oper License (T25),(R25) Other License Taxes,(R26) Total Income Taxes,(R27) Individual Income Tax (T40),(R28) Corp Net Income Tax (T41),(R29) Death and Gift Tax (T50),(R30) Taxes NEC
Louisiana,2000,$       18788200,$        6512382,$          24900,$        6487482,$        3718736,$        2060822,$        1657914,$          54923,$         420779,$         239283,$         549421,$           6171,$          12299,$          89644,$         285394,$         490128,$              0,$         273553,$         117617,$         110023,$           7594,$          98958,$        1804268,$        1582260,$         222008,$          95577,$         378773
Louisiana,2001,$       17811457,$        7197380,$          24607,$        7172773,$        4104331,$        2400038,$        1704293,$          52392,$         457975,$         247319,$         538812,$           5020,$           9067,$          96621,$         297087,$         477775,$              0,$         252710,$         114064,$         106281,$           7783,$         111001,$        2043317,$        1750261,$         293056,$          82930,$         464420
Louisiana,2002,$       18093632,$        7356936,$          34794,$        7322142,$        4191609,$        2326873,$        1864736,$          51360,$         497022,$         287750,$         558892,$           6100,$           7549,$         128521,$         327542,$         514724,$              0,$         264684,$         125213,$         114461,$          10752,$         124827,$        2053152,$        1788733,$         264419,$          68995,$         493662
Louisiana,2003,$       19437629,$        7449507,$          40730,$        7408777,$        4374737,$        2488627,$        1886110,$          52721,$         519059,$         333447,$         555621,$           5928,$          19567,$          82071,$         317696,$         426741,$              0,$         192002,$         124062,$         112287,$          11775,$         110677,$        2065866,$        1867150,$         198716,$          59093,$         482340
Louisiana,2004,$       23451376,$        7741289,$          39739,$        7701550,$        4321306,$        2680716,$        1640590,$          53422,$         524119,$         342353,$         560769,$          20420,$           7467,$         101040,$          31000,$         429068,$              0,$         186912,$         125326,$         114090,$          11236,$         116830,$        2428783,$        2192038,$         236745,$          45784,$         476609
Louisiana,2005,$       24851601,$        8638674,$          45401,$        8593273,$        4585883,$        2861435,$        1724448,$          54215,$         510069,$         362679,$         602975,$          47780,$           7718,$         105962,$          33050,$         520360,$              0,$         289351,$         122636,$         111459,$          11177,$         108373,$        2744863,$        2392727,$         352136,$          30401,$         711766
Louisiana,2006,$       27769117,$        9752953,$          45591,$        9707362,$        5418400,$        3427486,$        1990914,$          53132,$         711254,$         392035,$         648621,$           4068,$          13839,$         136865,$          31100,$         554078,$              0,$         278029,$         144041,$         130591,$          13450,$         132008,$        3007294,$        2501120,$         506174,$          11194,$         716396
Louisiana,2007,$       33348403,$       10973115,$          38757,$       10934358,$        5481652,$        3481242,$        2000410,$          53881,$         726078,$         402298,$         616636,$           4643,$          17607,$         147262,$          32005,$         570472,$              0,$         315296,$         122867,$         110997,$          11870,$         132309,$        3966936,$        3214163,$         752773,$          11134,$         904164
Louisiana,2008,$       31170200,$       11003870,$          46643,$       10957227,$        5538890,$        3459383,$        2079507,$          54993,$         742831,$         478288,$         604377,$           4474,$          13965,$         145578,$          35001,$         498612,$              0,$         252900,$          98644,$          87189,$          11455,$         147068,$        3872882,$        3169686,$         703196,$          11148,$        1035695
Louisiana,2009,$       23951567,$       10201931,$          64377,$       10137554,$        5202904,$        2963758,$        2239146,$          56881,$         715458,$         484858,$         600786,$           5973,$          12788,$         145578,$         216824,$         464971,$              0,$         232660,$          89139,$          78172,$          10967,$         143172,$        3553178,$        2940633,$         612545,$           5068,$         911433
Louisiana,2010,$       32176876,$        8758633,$          49426,$        8709207,$        4842797,$        2579946,$        2262851,$          55331,$         667151,$         532643,$         587995,$           5268,$           8828,$         135927,$         269708,$         426651,$              0,$         156648,$         122146,$         109388,$          12758,$         147857,$        2679536,$        2286500,$         393036,$           1754,$         758469
Louisiana,2011,$       33974652,$        8865421,$          51791,$        8813630,$        5131210,$        2812804,$        2318406,$          55948,$         671891,$         535565,$         607540,$           5115,$          10569,$         142064,$         289714,$         351398,$              0,$          84858,$         117154,$         104926,$          12228,$         149386,$        2600688,$        2403956,$         196732,$           1074,$         729260
Louisiana,2012,$       26938141,$        8994053,$          50937,$        8943116,$        4888854,$        2815919,$        2072935,$          56869,$         671080,$         357043,$         575063,$           5037,$          12796,$         133194,$         261853,$         402212,$              0,$         105495,$         144192,$         132032,$          12160,$         152525,$        2764995,$        2474606,$         290389,$           1073,$         885982
Louisiana,2013,$       33250908,$        9223829,$          52686,$        9171143,$        4974642,$        2825752,$        2148890,$          56879,$         675249,$         399551,$         583025,$           4660,$           9680,$         161554,$         258292,$         369930,$              0,$         105789,$         118141,$         105963,$          12178,$         146000,$        2992413,$        2739983,$         252430,$             42,$         834116
Louisiana,2014,$       34529120,$        9695281,$          55363,$        9639918,$        5115636,$        2923336,$        2192300,$          56967,$         675386,$         429146,$         588860,$           4385,$           9158,$         130045,$         298353,$         427090,$              0,$         188197,$          87209,$          75628,$          11581,$         151684,$        3234892,$        2753680,$         481212,$            150,$         862150
Louisiana,2015,$       28134018,$        9696730,$          56658,$        9640072,$        5285626,$        2926783,$        2358843,$          57416,$         713800,$         438179,$         606410,$           4356,$           9072,$         138400,$         391210,$         386358,$              0,$         146329,$          87086,$          76004,$          11082,$         152943,$        3236754,$        2983104,$         253650,$              4,$         731330
Louisiana,2016,$       26728156,$        9307865,$          62273,$        9245592,$        5351241,$        3186614,$        2164627,$          63356,$         702573,$         518906,$         622234,$           4338,$           8618,$         121200,$         123402,$         400049,$              0,$         106104,$         147639,$         133362,$          14277,$         146306,$        3038035,$        2866456,$         171579,$              0,$         456267
Louisiana,2017,$       36284086,$       10861190,$          70366,$       10790824,$        6770967,$        4215378,$        2555589,$          77107,$         698306,$         813975,$         634883,$           4659,$           9110,$         174001,$         143548,$         368318,$              0,$         125998,$          96989,$          83002,$          13987,$         145331,$        3241260,$        2949939,$         291321,$              0,$         410279
Alaska,1994,$        6203364,$        1240275,$          61612,$        1178663,$          99654,$              0,$          99654,$          11956,$           1685,$          26109,$          40507,$              0,$           2609,$          16788,$              0,$          73785,$           1883,$           1001,$          26641,$          24289,$           2352,$          44260,$         176070,$              0,$         176070,$           1616,$         827538
Alaska,1995,$        8365899,$        1922463,$          57294,$        1865169,$         101039,$              0,$         101039,$          11969,$           2032,$          27949,$          39601,$              0,$           2401,$          17087,$              0,$          75078,$           1152,$           1095,$          27060,$          24496,$           2564,$          45771,$         528005,$              0,$         528005,$           1158,$        1159889
Alaska,1996,$        8253549,$        1519082,$          56168,$        1462914,$          99124,$              0,$          99124,$          11985,$           1908,$          28184,$          37740,$              0,$           2541,$          16766,$              0,$          78896,$           1298,$           1361,$          29926,$          29926,$              0,$          46311,$         326270,$              0,$         326270,$           1658,$         956966
Alaska,1997,$        9438512,$        1619110,$          53567,$        1565543,$          96014,$              0,$          96014,$          11553,$           1871,$          28365,$          35578,$              0,$           2739,$          15908,$              0,$          77924,$           1096,$           1188,$          28827,$          28827,$              0,$          46813,$         331337,$              0,$         331337,$           1666,$        1058602
Alaska,1998,$        9039233,$        1186235,$          48516,$        1137719,$         116803,$              0,$         116803,$          11771,$           2134,$          33695,$          34894,$              0,$           2351,$          31958,$              0,$          94334,$           1297,$           1395,$          38360,$          38360,$              0,$          53282,$         275758,$              0,$         275758,$           5466,$         645358
Alaska,1999,$        7312896,$         905135,$          48704,$         856431,$         132004,$              0,$         132004,$          12159,$           2192,$          28390,$          38011,$              0,$           3668,$          47584,$              0,$          84868,$           1137,$           1422,$          33914,$          33914,$              0,$          48395,$         211811,$              0,$         211811,$           1726,$         426022
Alaska,2000,$        8584447,$        1423287,$          44608,$        1378679,$         137735,$              0,$         137735,$          12655,$           2335,$          29064,$          42137,$              0,$           3235,$          48309,$              0,$          91661,$           1301,$           1639,$          35568,$          35568,$              0,$          53153,$         438438,$              0,$         438438,$           2455,$         708390
Alaska,2001,$        6185917,$        1428698,$          45116,$        1383582,$         134637,$              0,$         134637,$          12003,$           2380,$          32175,$          37738,$              0,$           3329,$          47012,$              0,$          73417,$           1117,$           1278,$          34124,$          34124,$              0,$          36898,$         400442,$              0,$         400442,$           2683,$         772403
Alaska,2002,$        5018805,$        1089504,$          49652,$        1039852,$         142050,$              0,$         142050,$          12889,$           2537,$          37323,$          40352,$              0,$           3139,$          45810,$              0,$          74119,$           1523,$           1281,$          37304,$          37304,$              0,$          34011,$         269273,$              0,$         269273,$           3117,$         551293
Alaska,2003,$        6924221,$        1120133,$          48741,$        1071392,$         152132,$              0,$         152132,$          22466,$           2586,$          43391,$          37353,$              0,$           3655,$          42681,$              0,$          70107,$           1891,$           1290,$          31419,$          31419,$              0,$          35507,$         207075,$              0,$         207075,$           1222,$         640856
Alaska,2004,$        8852189,$        1343191,$          47368,$        1295823,$         172876,$              0,$         172876,$          32746,$           2413,$          49873,$          40660,$              0,$           3962,$          43222,$              0,$          83738,$           1829,$           1319,$          43782,$          43782,$              0,$          36808,$         339564,$              0,$         339564,$           2251,$         697394
Alaska,2005,$        9185403,$        1858311,$          42912,$        1815399,$         198797,$              0,$         198797,$          34638,$           2458,$          52958,$          39565,$              0,$           3969,$          56162,$           9047,$         100670,$           1768,$           1019,$          52930,$          52930,$              0,$          44953,$         588694,$              0,$         588694,$           1539,$         925699
Alaska,2006,$       10844814,$        2484422,$          54507,$        2429915,$         208898,$              0,$         208898,$          35225,$           2412,$          51912,$          42087,$              0,$           3878,$          64106,$           9278,$         124135,$           1937,$           1343,$          52494,$          52494,$              0,$          68361,$         821664,$              0,$         821664,$            576,$        1274642
Alaska,2007,$       12811428,$        3688447,$          65780,$        3622667,$         235797,$              0,$         235797,$          35044,$           2446,$          55402,$          39303,$              0,$           4096,$          73994,$          25512,$         136315,$           1777,$           1405,$          54672,$          54672,$              0,$          78461,$         813762,$              0,$         813762,$            133,$        2436660
Alaska,2008,$       16314578,$        8732385,$          81518,$        8650867,$         277033,$              0,$         277033,$          36567,$           9456,$          54698,$          41985,$              0,$           4091,$          73451,$          56785,$         137258,$           1924,$            878,$          55135,$          55135,$              0,$          79321,$        1297513,$              0,$        1297513,$             23,$        6939040
Alaska,2009,$        9641320,$        4955884,$         111251,$        4844633,$         250267,$              0,$         250267,$          39626,$           9161,$          52286,$          10064,$              0,$           4127,$          73079,$          61924,$         132504,$           1819,$            889,$          55267,$          55267,$              0,$          74529,$         632123,$              0,$         632123,$            175,$        3829564
Alaska,2010,$       12381555,$        4522927,$         118870,$        4404057,$         263005,$              0,$         263005,$          38939,$           8920,$          51374,$          28834,$              0,$           4085,$          70147,$          60706,$         142849,$           2475,$            228,$          63692,$          63692,$              0,$          76454,$         643068,$              0,$         643068,$             86,$        3355049
Alaska,2011,$       14920900,$        5537679,$         184254,$        5353425,$         256014,$              0,$         256014,$          35747,$           8321,$          55713,$          39617,$              0,$           3923,$          70918,$          41775,$         137889,$           1806,$              0,$          58285,$          58285,$              0,$          77798,$         720733,$              0,$         720733,$              0,$        4238789
Alaska,2012,$       14983393,$        7049398,$         215407,$        6833991,$         248432,$              0,$         248432,$          40230,$           7712,$          61684,$          40980,$              0,$           4114,$          67382,$          26330,$         135055,$           1864,$              0,$          58196,$          58196,$              0,$          74995,$         663144,$              0,$         663144,$              0,$        5787360
Alaska,2013,$       14227247,$        5132811,$          99598,$        5033213,$         249586,$              0,$         249586,$          39194,$           8427,$          60236,$          41608,$              0,$           4295,$          69175,$          26651,$         135720,$           1788,$              0,$          58822,$          58822,$              0,$          75110,$         630941,$              0,$         630941,$              0,$        4016966
Alaska,2014,$       12751532,$        3392869,$         128076,$        3264793,$         257696,$              0,$         257696,$          39078,$           9205,$          62292,$          42467,$              0,$           4230,$          72004,$          28420,$         141947,$           1905,$              0,$          59497,$          59497,$              0,$          80545,$         408938,$              0,$         408938,$              0,$        2456212
Alaska,2015,$        8367410,$        1363350,$         127821,$        1235529,$         255971,$              0,$         255971,$          39836,$           9144,$          66456,$          42003,$              0,$           4200,$          65823,$          28509,$         115886,$           1845,$              0,$          29500,$          29500,$              0,$          84541,$         227852,$              0,$         227852,$              0,$         635820
Alaska,2016,$        7914927,$         896921,$         111736,$         785185,$         260846,$              0,$         260846,$          42430,$          10306,$          64400,$          48773,$              0,$           4027,$          67918,$          22992,$         120081,$           1471,$              0,$          38000,$          38000,$              0,$          80610,$          67457,$              0,$          67457,$              0,$         336801
Alaska,2017,$       10563363,$        1189104,$         120805,$        1068299,$         263120,$              0,$         263120,$          40097,$          10668,$          62500,$          45944,$              0,$           4370,$          67555,$          31986,$         134246,$           1314,$              0,$          38900,$          38900,$              0,$          94032,$          87775,$              0,$          87775,$              0,$         583158
Maine,1994,$        4097926,$        1764588,$          41625,$        1722963,$         890696,$         617008,$         273688,$          34656,$              0,$          40341,$         149826,$           1621,$           1112,$          46132,$              0,$         106498,$           2941,$           2367,$          63574,$          53987,$           9587,$          37616,$         706397,$         614442,$          91955,$          10080,$           9292
Maine,1995,$        4207954,$        1812574,$          42081,$        1770493,$         924905,$         650210,$         274695,$          32688,$              0,$          38923,$         153570,$           2775,$            553,$          46186,$              0,$         115010,$           3062,$           2442,$          66376,$          56249,$          10127,$          43130,$         703762,$         640472,$          63290,$          17124,$           9692
Maine,1996,$        4266881,$        1896564,$          43467,$        1853097,$         935796,$         657955,$         277841,$          34211,$              0,$          38736,$         156448,$           2934,$            523,$          44989,$              0,$         114473,$           2871,$           2610,$          65521,$          56287,$           9234,$          43471,$         780553,$         709491,$          71062,$          12380,$           9895
Maine,1997,$        5215004,$        2019491,$          42216,$        1977275,$         964667,$         683152,$         281515,$          32254,$              0,$          43362,$         155917,$           4114,$            491,$          45377,$              0,$         117339,$           3090,$           2648,$          64889,$          56078,$           8811,$          46712,$         868956,$         771810,$          97146,$          14771,$          11542
Maine,1998,$        5689618,$        2369820,$          43056,$        2326764,$        1140703,$         830758,$         309945,$          33396,$              0,$          43023,$         157324,$           3907,$            574,$          71721,$              0,$         118536,$           2967,$           2843,$          65515,$          60225,$           5290,$          47211,$        1013499,$         906374,$         107125,$          40536,$          13490
Maine,1999,$        5887528,$        2540581,$          42691,$        2497890,$        1159661,$         828635,$         331026,$          32658,$              0,$          41870,$         172975,$           4667,$            497,$          78359,$              0,$         124293,$           2911,$           3114,$          68460,$          62920,$           5540,$          49808,$        1167498,$        1020009,$         147489,$          29768,$          16670
Maine,2000,$        6293656,$        2661080,$          30550,$        2630530,$        1190998,$         847358,$         343640,$          34308,$              0,$          46810,$         181263,$           4366,$           1960,$          74933,$              0,$         134377,$           3073,$           3129,$          78463,$          68389,$          10074,$          49712,$        1226959,$        1076913,$         150046,$          58804,$          19392
Maine,2001,$        5207414,$        2668938,$          47508,$        2621430,$        1176807,$         817880,$         358927,$          40900,$              0,$          45780,$         189172,$           4695,$           4022,$          74358,$              0,$         138015,$           4290,$           3313,$          80801,$          70473,$          10328,$          49611,$        1258021,$        1161738,$          96283,$          30616,$          17971
Maine,2002,$        5451423,$        2626830,$          48136,$        2578694,$        1237259,$         836134,$         401125,$          42891,$              0,$          60376,$         191694,$           4857,$           7225,$          94082,$              0,$         148737,$           4342,$           3390,$          89127,$          78875,$          10252,$          51878,$        1150176,$        1072810,$          77366,$          23420,$          19102
Maine,2003,$        6801191,$        2697275,$          46853,$        2650422,$        1281442,$         857495,$         423947,$          44243,$              0,$          77872,$         194472,$           4761,$           8201,$          94398,$              0,$         150171,$           4679,$           3482,$          89120,$          79001,$          10119,$          52890,$        1166014,$        1074826,$          91188,$          30520,$          22275
Maine,2004,$        8447366,$        2975525,$          45308,$        2930217,$        1395650,$         917248,$         478402,$          12628,$              0,$          77770,$         220410,$           4509,$          13742,$          92626,$          56717,$         201467,$           3090,$           3600,$          88849,$          81740,$           7109,$         105928,$        1271644,$        1160028,$         111616,$          32076,$          29380
Maine,2005,$        8456220,$        3215570,$          43660,$        3171910,$        1467348,$         934848,$         532500,$          12742,$            401,$          81237,$         228395,$           4236,$          24962,$          91906,$          88621,$         202905,$           2866,$           5638,$          91054,$          84140,$           6914,$         103347,$        1435115,$        1299252,$         135863,$          32258,$          34284
Maine,2006,$        8639110,$        3598579,$          41190,$        3557389,$        1668485,$        1041216,$         627269,$          14090,$          10748,$          93915,$         229066,$           3735,$          25328,$         154825,$          95562,$         222048,$           3593,$           6385,$          93700,$          83222,$          10478,$         118370,$        1556943,$        1368927,$         188016,$          75330,$          34583
Maine,2007,$        9548564,$        3696065,$          37807,$        3658258,$        1688712,$        1054812,$         633900,$          16976,$          19930,$          85169,$         232650,$           3488,$          24442,$         158953,$          92292,$         232091,$           4159,$           7978,$          97281,$          85691,$          11590,$         122673,$        1653147,$        1469295,$         183852,$          54820,$          29488
Maine,2008,$        7493041,$        3785719,$          37280,$        3748439,$        1705306,$        1060557,$         644749,$          17404,$          20391,$          97242,$         229849,$           3000,$          32685,$         150499,$          93679,$         231268,$           4150,$           8014,$          96145,$          84322,$          11823,$         122959,$        1747354,$        1562839,$         184515,$          39891,$          24620
Maine,2009,$        6215026,$        3488960,$          41719,$        3447241,$        1640671,$        1012357,$         628314,$          17438,$          26161,$          89528,$         220772,$           2918,$          26763,$         144425,$         100309,$         243168,$           4704,$           7976,$         101871,$          91030,$          10841,$         128617,$        1513796,$        1370710,$         143086,$          31819,$          17787
Maine,2010,$        9290505,$        3489953,$          45713,$        3444240,$        1666914,$         989645,$         677269,$          16864,$          28173,$         105811,$         241687,$           2447,$          28816,$         149067,$         104404,$         248270,$           4711,$           8211,$         103033,$          94633,$           8400,$         132315,$        1478662,$        1303370,$         175292,$          31210,$          19184
Maine,2011,$       10611116,$        3675810,$          45514,$        3630296,$        1682645,$        1010241,$         672404,$          17464,$          28029,$          89544,$         239446,$           2342,$          31886,$         145229,$         118464,$         248730,$           5990,$           8524,$         106262,$          97726,$           8536,$         127954,$        1629979,$        1420982,$         208997,$          49323,$          19619
Maine,2012,$        8589499,$        3777130,$          38360,$        3738770,$        1748815,$        1064342,$         684473,$          17352,$          28640,$         108605,$         242124,$           2379,$          28548,$         139729,$         117096,$         252404,$           4827,$           8541,$         109795,$          99135,$          10660,$         129241,$        1674044,$        1441926,$         232118,$          44865,$          18642
Maine,2013,$        9919130,$        3884450,$          38636,$        3845814,$        1779873,$        1071886,$         707987,$          17518,$          51162,$          99693,$         237675,$           2068,$          29599,$         137952,$         132320,$         260918,$           5377,$           8980,$         118634,$         107906,$          10728,$         127927,$        1703491,$        1531504,$         171987,$          79083,$          22449
Maine,2014,$       10613147,$        3847181,$          35755,$        3811426,$        1911398,$        1191685,$         719713,$          17923,$          50854,$         106372,$         240901,$           1816,$          32432,$         136160,$         133255,$         254251,$           5393,$           9343,$         112370,$         102306,$          10064,$         127145,$        1597038,$        1414110,$         182928,$          23962,$          24777
Maine,2015,$        8916579,$        4064075,$          37028,$        4027047,$        1999051,$        1280298,$         718753,$          18312,$          51555,$          98353,$         243891,$           1883,$          33484,$         136913,$         134362,$         268026,$           6300,$           9845,$         116476,$         106876,$           9600,$         135405,$        1702096,$        1533130,$         168966,$          31196,$          26678
Maine,2016,$        8815769,$        4130242,$          35425,$        4094817,$        2077913,$        1359190,$         718723,$          18741,$          53255,$         102528,$         245053,$           1562,$          21674,$         141464,$         134446,$         272253,$           5445,$          10100,$         119780,$         108845,$          10935,$         136928,$        1689129,$        1551637,$         137492,$          27198,$          28324
Maine,2017,$       10630716,$        4232556,$          38643,$        4193913,$        2165142,$        1441867,$         723275,$          19266,$          54400,$          95943,$         252870,$           1479,$          21944,$         144243,$         133130,$         274760,$           6698,$          10577,$         120748,$         109723,$          11025,$         136737,$        1710105,$        1534866,$         175239,$          11718,$          32188
Maryland,1994,$       15581282,$        7582734,$         219142,$        7363592,$        3273739,$        1814949,$        1458790,$          24094,$           5173,$         147489,$         587845,$           2993,$         137723,$         139767,$         413706,$         351983,$            493,$          13490,$         205365,$         185676,$          19689,$         132635,$        3545409,$        3225341,$         320068,$          81646,$         110815
Maryland,1995,$       16429739,$        8060982,$         239994,$        7820988,$        3497867,$        1951031,$        1546836,$          23393,$           3514,$         156454,$         599334,$           3189,$         142267,$         137243,$         481442,$         357134,$            504,$          14437,$         211602,$         190977,$          20625,$         130591,$        3766246,$        3400487,$         365759,$          92218,$         107523
Maryland,1996,$       16041152,$        8166692,$         226767,$        7939925,$        3554952,$        2000298,$        1554654,$          23327,$           5239,$         165786,$         606406,$           3026,$         136679,$         132288,$         481903,$         357725,$            503,$          14775,$         213623,$         196519,$          17104,$         128824,$        3815449,$        3484896,$         330553,$         109320,$         102479
Maryland,1997,$       20155344,$        8631278,$         236099,$        8395179,$        3722025,$        2095319,$        1626706,$          23378,$           9107,$         165868,$         613840,$           2893,$         156196,$         130153,$         525271,$         349632,$            520,$          13086,$         206215,$         190265,$          15950,$         129811,$        4112059,$        3768560,$         343499,$         105967,$         105496
Maryland,1998,$       20559098,$        9190482,$         241504,$        8948978,$        3842769,$        2161233,$        1681536,$          23939,$          10562,$         174718,$         676650,$           2052,$         146500,$         128245,$         518870,$         350854,$            493,$          12846,$         189133,$         169534,$          19599,$         148382,$        4517873,$        4139159,$         378714,$         124758,$         112724
Maryland,1999,$       19612674,$        9501164,$         249751,$        9251413,$        4031346,$        2299610,$        1731736,$          23908,$          10103,$         178081,$         680055,$            717,$         153584,$         128785,$         556503,$         381043,$            411,$          11382,$         198772,$         177557,$          21215,$         170478,$        4583428,$        4178461,$         404967,$         126168,$         129428
Maryland,2000,$       21365680,$       10354447,$         256027,$       10098420,$        4361581,$        2498184,$        1863397,$          24400,$          10212,$         172917,$         652052,$           2070,$         153927,$         210025,$         637794,$         379190,$            540,$          13278,$         196554,$         179014,$          17540,$         168818,$        5044312,$        4613203,$         431109,$         156976,$         156361
Maryland,2001,$       20938683,$       10785695,$         262028,$       10523667,$        4591593,$        2646642,$        1944951,$          24522,$          11416,$         191427,$         686942,$           1867,$         144049,$         205766,$         678962,$         398673,$            541,$          14204,$         205445,$         190380,$          15065,$         178483,$        5225439,$        4724074,$         501365,$         168751,$         139211
Maryland,2002,$       20787889,$       10821276,$         272806,$       10548470,$        4699086,$        2690434,$        2008652,$          25754,$           4794,$         197306,$         703390,$           3122,$         140895,$         209881,$         723510,$         435967,$            573,$          14606,$         219790,$         199651,$          20139,$         200998,$        5063788,$        4704368,$         359420,$         182753,$         166876
Maryland,2003,$       21801442,$       10980324,$         288889,$       10691435,$        4864474,$        2720162,$        2144312,$          25651,$          11404,$         238258,$         716686,$           3302,$         130142,$         279016,$         739853,$         440705,$            584,$          13268,$         288018,$         260438,$          27580,$         138835,$        5060880,$        4681860,$         379020,$         142123,$         183253
Maryland,2004,$       28536118,$       12227428,$         478796,$       11748632,$        4955461,$        2707140,$        2248321,$          26863,$          10432,$         260046,$         746044,$           3028,$         137373,$         272066,$         792469,$         558938,$            960,$          53264,$         358611,$         318923,$          39688,$         146103,$        5847544,$        5277844,$         569700,$         152251,$         234438
Maryland,2005,$       28647853,$       13366914,$         528638,$       12838276,$        5151756,$        2889997,$        2261759,$          27352,$          10929,$         268912,$         752809,$           2002,$         133310,$         275795,$         790650,$         734360,$           1015,$          64597,$         520217,$         478875,$          41342,$         148531,$        6468546,$        5661492,$         807054,$         183084,$         300530
Maryland,2006,$       30929277,$       14549632,$         576515,$       13973117,$        5722890,$        3381694,$        2341196,$          27943,$          10653,$         345816,$         768742,$           2013,$         119341,$         280307,$         786381,$         694443,$           1009,$          61366,$         472463,$         446520,$          25943,$         159605,$        6998228,$        6151365,$         846863,$         221883,$         335673
Maryland,2007,$       35166780,$       15094183,$         595373,$       14498810,$        5811886,$        3447828,$        2364058,$          28682,$           7540,$         385026,$         753988,$           2019,$         132789,$         277755,$         776259,$         722214,$           1089,$          73779,$         485466,$         459907,$          25559,$         161880,$        7461198,$        6679168,$         782030,$         224322,$         279190
Maryland,2008,$       28452629,$       15743757,$         630809,$       15112948,$        6278586,$        3748933,$        2529653,$          28966,$          14783,$         414233,$         808964,$           1806,$         133513,$         376112,$         751276,$         697481,$           1022,$          89736,$         471391,$         442018,$          29373,$         135332,$        7675458,$        6940134,$         735324,$         243425,$         217998
Maryland,2009,$       24054709,$       15285561,$         688535,$       14597026,$        6222911,$        3851341,$        2371570,$          29168,$          19909,$         390848,$         734836,$           1609,$         124914,$         405558,$         664728,$         763284,$           1014,$          91758,$         468800,$         438868,$          29932,$         201712,$        7227237,$        6478236,$         749001,$         205627,$         177967
Maryland,2010,$       37408265,$       15237748,$         774109,$       14463639,$        6257681,$        3753778,$        2503903,$          29874,$          23446,$         391569,$         722597,$           1541,$         124075,$         405915,$         804886,$         754089,$           1118,$          93086,$         462331,$         433777,$          28554,$         197554,$        7091684,$        6200292,$         891392,$         173460,$         186725
Maryland,2011,$       41716816,$       16031165,$         793304,$       15237861,$        6654014,$        3896700,$        2757314,$          30434,$          26460,$         410287,$         752171,$           1159,$         131566,$         407570,$         997667,$         768118,$           1177,$          94294,$         470410,$         444133,$          26277,$         202237,$        7420807,$        6644962,$         775845,$         216033,$         178889
Maryland,2012,$       36091785,$       17094560,$         755937,$       16338623,$        7173515,$        4076578,$        3096937,$          31010,$          27504,$         428024,$         733410,$           1267,$         127106,$         411427,$        1337189,$         730878,$           1201,$          96412,$         470200,$         443956,$          26244,$         163065,$        7996961,$        7116605,$         880356,$         196875,$         240394
Maryland,2013,$       42576357,$       18118191,$         750927,$       17367264,$        7347048,$        4114296,$        3232752,$          30867,$          25281,$         429410,$         740556,$           1203,$         123431,$         415922,$        1466082,$         805292,$           1266,$          92984,$         485187,$         450618,$          34569,$         225855,$        8645416,$        7693324,$         952092,$         234552,$         334956
Maryland,2014,$       44019411,$       18929069,$         725694,$       18203375,$        8022537,$        4195996,$        3826541,$          30808,$         431851,$         475294,$         812739,$           3071,$         139346,$         402403,$        1531029,$         853851,$           1358,$         106658,$         511334,$         474475,$          36859,$         234501,$        8756557,$        7773773,$         982784,$         213780,$         356650
Maryland,2015,$       42022231,$       20001304,$         738170,$       19263134,$        8450318,$        4409919,$        4040399,$          30956,$         567795,$         444691,$         923483,$           1138,$         136006,$         391451,$        1544879,$         851466,$           1385,$         108642,$         521106,$         485119,$          35987,$         220333,$        9349733,$        8346145,$        1003588,$         243412,$         368205
Maryland,2016,$       42552859,$       20894199,$         748389,$       20145810,$        8939430,$        4504242,$        4435188,$          31627,$         650293,$         552526,$        1017769,$           1173,$         137537,$         395266,$        1648997,$         884363,$           1446,$         103860,$         529350,$         492753,$          36597,$         249707,$        9646537,$        8517529,$        1129008,$         261922,$         413558
Maryland,2017,$       47772541,$       21599795,$         777064,$       20822731,$        9242760,$        4609538,$        4633222,$          32151,$         847455,$         516533,$        1078313,$           1182,$         138251,$         386965,$        1632372,$         866391,$           1486,$         109767,$         538976,$         501360,$          37616,$         216162,$       10068643,$        9066709,$        1001934,$         227940,$         416997
Massachusetts,1994,$       22289319,$       11016505,$            310,$       11016195,$        3538812,$        2303139,$        1235673,$          60998,$           8350,$         290189,$         562584,$          13426,$              0,$         237307,$          62819,$         401099,$           1127,$          18286,$         296696,$         236694,$          60002,$          84990,$        6752698,$        5689768,$        1062930,$         277533,$          46053
